"Len","P31","P50","P356","P1476","P1433","P577"
"Enhanced fuzzy evidential reasoning using an optimization approach for water quality monitoring","Q13442814","Rehan Sadiq","10.1109/ifsa-nafips.2013.6608561","Enhanced fuzzy evidential reasoning using an optimization approach for water quality monitoring","2013 Joint IFSA World Congress and NAFIPS Annual Meeting (IFSA/NAFIPS)","2013-10-01"
"Environmental and economic aspects of production and utilization of RDF as alternative fuel in cement plants: A case study of Metro Vancouver Waste Management","Q13442814","Rehan Sadiq","10.1016/j.resconrec.2013.10.009","Environmental and economic aspects of production and utilization of RDF as alternative fuel in cement plants: A case study of Metro Vancouver Waste Management","Resources, Conservation and Recycling","2013-11-06"
"Environmental assessment under uncertainty using Dempster–Shafer theory and Z-numbers","Q13442814","Rehan Sadiq","10.1007/s12652-019-01228-y","Environmental assessment under uncertainty using Dempster–Shafer theory and Z-numbers","Journal of Ambient Intelligence and Humanized Computing","2019-02-06"
"Environmental decision-making under uncertainty using intuitionistic fuzzy analytic hierarchy process (IF-AHP)","Q13442814","Rehan Sadiq","10.1007/s00477-007-0197-z","Environmental decision-making under uncertainty using intuitionistic fuzzy analytic hierarchy process (IF-AHP)","Stochastic Environmental Research and Risk Assessment","2007-11-27"
"Environmental risk assessment of acid rock drainage under uncertainty: the probability bounds and PHREEQC approach","Q13442814","Rehan Sadiq","10.1016/j.jhazmat.2015.07.022","Environmental risk assessment of acid rock drainage under uncertainty: the probability bounds and PHREEQC approach","Journal of Hazardous Materials","2015-07-18"
"Estimating risk of contaminant intrusion in distribution networks using fuzzy rule-based modeling","Q13442814","Rehan Sadiq","10.1080/10286600600789276","Estimating risk of contaminant intrusion in distribution networks using fuzzy rule-based modeling","Civil Engineering and Environmental Systems","2006-07-17"
"Evaluating leakage potential in water distribution systems: a fuzzy-based methodology","Q13442814","Rehan Sadiq","10.2166/aqua.2012.151","Evaluating leakage potential in water distribution systems: a fuzzy-based methodology","Journal of Water Supply: Research and Technology - Aqua","2015-12-15"
"Evaluating motivation of construction workers: A comparison of fuzzy rule-based model with the traditional expectancy theory","Q13442814","Rehan Sadiq","10.3846/13923730.2014.914103","Evaluating motivation of construction workers: A comparison of fuzzy rule-based model with the traditional expectancy theory","JOURNAL OF CIVIL ENGINEERING AND MANAGEMENT","2016-07-12"
"Evaluating offshore technologies for produced water management using GreenPro-I—a risk-based life cycle analysis for green and clean process selection and …","Q13442814","Rehan Sadiq","10.1016/j.compchemeng.2004.11.003","Evaluating offshore technologies for produced water management using GreenPro-I—a risk-based life cycle analysis for green and clean process selection and …","Computers & Chemical Engineering","2005-01-09"
"Evaluating risk of water mains failure using a Bayesian belief network model","Q13442814","Rehan Sadiq","10.1016/j.ejor.2014.06.033","Evaluating risk of water mains failure using a Bayesian belief network model","European Journal of Operational Research","2014-07-02"
"Evaluating water quality failure potential in water distribution systems: a fuzzy-TOPSIS-OWA-based methodology","Q13442814","Rehan Sadiq","10.1007/s11269-013-0283-6","Evaluating water quality failure potential in water distribution systems: a fuzzy-TOPSIS-OWA-based methodology","Water Resources Management","2013-02-01"
"Evaluating water reuse applications under uncertainty: generalized intuitionistic fuzzy-based approach","Q13442814","Rehan Sadiq","10.1007/s00477-017-1449-1","Evaluating water reuse applications under uncertainty: generalized intuitionistic fuzzy-based approach","Stochastic Environmental Research and Risk Assessment","2017-08-20"
"Evaluation of available indices for inherently safer design options","Q13442814","Rehan Sadiq","10.1002/prs.680220203","Evaluation of available indices for inherently safer design options","Process Safety Progress","2004-04-16"
"Evaluation of data driven models for pipe burst prediction in urban water distribution systems","Q13442814","Rehan Sadiq","10.1080/1573062x.2019.1637004","Evaluation of data driven models for pipe burst prediction in urban water distribution systems","Urban Water Journal","2019-07-08"
"Evaluation of financial incentives for green buildings in Canadian landscape","Q13442814","Rehan Sadiq","10.1016/j.rser.2020.110199","Evaluation of financial incentives for green buildings in Canadian landscape","Renewable and Sustainable Energy Reviews","2020-08-24"
"Evaluation of generic types of drilling fluid using a risk-based analytic hierarchy process","Q13442814","Rehan Sadiq","10.1007/s00267-003-0009-2","Evaluation of generic types of drilling fluid using a risk-based analytic hierarchy process","Environmental Management","2004-01-24"
"Evaluation of slurry settling rate using fuzzy rule-based modeling","Q13442814","Rehan Sadiq","10.1007/s11440-006-0008-6","Evaluation of slurry settling rate using fuzzy rule-based modeling","Acta Geotechnica","2006-09-29"
"Evaluation of source water protection strategies: a fuzzy-based model","Q13442814","Rehan Sadiq","10.1016/j.jenvman.2013.02.022","Evaluation of source water protection strategies: a fuzzy-based model","Journal of Environmental Management","2013-03-28"
"Evidential cognitive maps","Q13442814","Rehan Sadiq","10.1016/j.knosys.2012.04.007","Evidential cognitive maps","Knowledge-Based Systems","2012-04-12"
"Evidential reasoning using extended fuzzy Dempster–Shafer theory for handling various facets of information deficiency","Q13442814","Rehan Sadiq","10.1002/int.20491","Evidential reasoning using extended fuzzy Dempster–Shafer theory for handling various facets of information deficiency","International Journal of Intelligent Systems","2011-05-31"
"Experimental Investigations and CFD Modeling of Contaminant Intrusion in a Water Network during Transient Events","Q13442814","Rehan Sadiq","10.3390/w11071425","Experimental Investigations and CFD Modeling of Contaminant Intrusion in a Water Network during Transient Events","Water","2019-07-11"
"Expert Knowledge Base in Integrated Maintenance Models for Engineering Plants","Q13442814","Rehan Sadiq","10.1007/978-3-319-32229-2_36","Expert Knowledge Base in Integrated Maintenance Models for Engineering Plants","Recent Developments and New Direction in Soft-Computing Foundations and Applications","2016-05-25"
"Exploring the Relationship between Soil Properties and Deterioration of Metallic Pipes Using Predictive Data Mining Methods","Q13442814","Rehan Sadiq","10.1061/(asce)cp.1943-5487.0000032","Exploring the Relationship between Soil Properties and Deterioration of Metallic Pipes Using Predictive Data Mining Methods","Journal of Computing in Civil Engineering","2009-07-18"
"Exposure to Crystalline Silica Inhalation Among Construction Workers: A Probabilistic Risk Analysis","Q13442814","Rehan Sadiq","10.1080/10807039.2012.707931","Exposure to Crystalline Silica Inhalation Among Construction Workers: A Probabilistic Risk Analysis","Human and Ecological Risk Assessment: An International Journal","2012-09-28"
"Fabrication and testing of a miniaturised water quality monitoring ph and conductivity sensors","Q13442814","Rehan Sadiq","10.1016/j.snb.2013.12.002","Fabrication and testing of a miniaturised water quality monitoring ph and conductivity sensors","Sensors and Actuators B: Chemical","2013-12-08"
"Fate of drilling waste discharges and ecological risk assessment in the Egyptian Red Sea: an aquivalence-based fuzzy analysis","Q13442814","Rehan Sadiq","10.1007/s00477-012-0574-0","Fate of drilling waste discharges and ecological risk assessment in the Egyptian Red Sea: an aquivalence-based fuzzy analysis","Stochastic Environmental Research and Risk Assessment","2012-02-23"
"Fate of drilling wastes in the marine environment","Q13442814","Rehan Sadiq","10.1016/s0098-3004(99)00135-1","Fate of drilling wastes in the marine environment","Computers & Geosciences","2002-07-26"
"Fault and event tree analyses for process systems risk analysis: uncertainty handling formulations","Q13442814","Rehan Sadiq","10.1111/j.1539-6924.2010.01475.x","Fault and event tree analyses for process systems risk analysis: uncertainty handling formulations","Risk Analysis","2010-08-21"
"Fault tree analysis based on TOPSIS and triangular fuzzy number","Q13442814","Rehan Sadiq","10.1007/s13198-014-0323-5","Fault tree analysis based on TOPSIS and triangular fuzzy number","International Journal of System Assurance Engineering and Management","2014-12-03"
"Fit-for-purpose wastewater treatment: Conceptualization to development of decision support tool (I)","Q13442814","Rehan Sadiq","10.1016/j.scitotenv.2017.06.269","Fit-for-purpose wastewater treatment: Conceptualization to development of decision support tool (I)","Science of The Total Environment","2017-07-27"
"Fit-for-purpose wastewater treatment: Testing to implementation of decision support tool (II)","Q13442814","Rehan Sadiq","10.1016/j.scitotenv.2017.06.268","Fit-for-purpose wastewater treatment: Testing to implementation of decision support tool (II)","Science of The Total Environment","2017-07-27"
"Framework for continuous performance improvement in small drinking water systems","Q13442814","Rehan Sadiq","10.1016/j.scitotenv.2016.08.067","Framework for continuous performance improvement in small drinking water systems","Science of The Total Environment","2016-08-15"
"Framework for cost-effective prediction of unregulated disinfection by-products in drinking water distribution using differential free chlorine","Q13442814","Rehan Sadiq","10.1039/c8ew00394g","Framework for cost-effective prediction of unregulated disinfection by-products in drinking water distribution using differential free chlorine","Environmental Science: Water Research & Technology","2018-08-01"
"Framework for optimizing chlorine dose in small-to medium-sized water distribution systems: a case of a residential neighbourhood in Lahore, Pakistan","Q13442814","Rehan Sadiq","10.4314/wsa.v41i5.4","Framework for optimizing chlorine dose in small-to medium-sized water distribution systems: a case of a residential neighbourhood in Lahore, Pakistan","Water SA","2015-11-05"
"Framework for prioritizing infrastructure user expectations using Quality Function Deployment (QFD)","Q13442814","Rehan Sadiq","10.1016/j.ijsbe.2017.02.002","Framework for prioritizing infrastructure user expectations using Quality Function Deployment (QFD)","International Journal of Sustainable Built Environment","2017-03-28"
"Fuzzy Logic Expert System for Assessing Corrosion of Cast/Ductile Iron Water Mains using Soil Properties","Q13442814","Rehan Sadiq","10.1111/j.1467-8667.2005.00417.x","Fuzzy Logic Expert System for Assessing Corrosion of Cast/Ductile Iron Water Mains using Soil Properties","Computer-Aided Civil and Infrastructure Engineering","2005-10-27"
"Fuzzy clustering analysis of hydraulic fracturing additives for environmental and human health risk mitigation","Q13442814","Rehan Sadiq","10.1007/s10098-018-1614-3","Fuzzy clustering analysis of hydraulic fracturing additives for environmental and human health risk mitigation","Clean Technologies and Environmental Policy","2018-10-15"
"Fuzzy cognitive maps for decision support to maintain water quality in ageing water mains","Q13442814","Rehan Sadiq","10.1109/ccdc.2013.6561679","Fuzzy cognitive maps for decision support to maintain water quality in ageing water mains","2013 25th Chinese Control and Decision Conference (CCDC)","2013-07-25"
"Fuzzy cognitive maps in systems risk analysis: a comprehensive review","Q13442814","Rehan Sadiq","10.1007/s40747-020-00228-2","Fuzzy cognitive maps in systems risk analysis: a comprehensive review","Complex & Intelligent Systems","2020-11-25"
"Fuzzy fault tree analysis of hydraulic fracturing flowback water storage failure","Q13442814","Rehan Sadiq","10.1016/j.jngse.2019.103039","Fuzzy fault tree analysis of hydraulic fracturing flowback water storage failure","Journal of Natural Gas Science and Engineering","2019-10-23"
"Fuzzy physiologically based pharmacokinetic (PBPK) model of chloroform in swimming pools","Q13442814","Rehan Sadiq","10.1007/978-3-319-75408-6_38","Fuzzy physiologically based pharmacokinetic (PBPK) model of chloroform in swimming pools","Recent Developments and the New Direction in Soft-Computing Foundations and Applications","2018-05-28"
"Fuzzy synthetic evaluation of disinfection by-products—a risk-based indexing system","Q13442814","Rehan Sadiq","10.1016/j.jenvman.2004.04.014","Fuzzy synthetic evaluation of disinfection by-products—a risk-based indexing system","Journal of Environmental Management","2004-08-05"
"Fuzzy-based fugacity model for propagating uncertainty in assessing swimmer exposures to disinfection byproducts","Q13442814","Rehan Sadiq","10.1109/nafips.2012.6291061","Fuzzy-based fugacity model for propagating uncertainty in assessing swimmer exposures to disinfection byproducts","2012 Annual Meeting of the North American Fuzzy Information Processing Society (NAFIPS)","2012-09-07"
"Fuzzy-based method to evaluate soil corrosivity for prediction of water main deterioration","Q13442814","Rehan Sadiq","10.1061/(asce)1076-0342(2004)10:4(149)","Fuzzy-based method to evaluate soil corrosivity for prediction of water main deterioration","Journal of Infrastructure Systems","2004-11-16"
"GIS-based vulnerability analysis of the United States to COVID-19 occurrence","Q13442814","Rehan Sadiq","10.1080/13669877.2021.1881991","GIS-based vulnerability analysis of the United States to COVID-19 occurrence","Journal of Risk Research","2021-02-20"
"Generalized fuzzy cognitive maps: a new extension of fuzzy cognitive maps","Q13442814","Rehan Sadiq","10.1007/s13198-016-0444-0","Generalized fuzzy cognitive maps: a new extension of fuzzy cognitive maps","International Journal of System Assurance Engineering and Management","2016-03-22"
"Generating Z-number based on OWA weights using maximum entropy","Q13442814","Rehan Sadiq","10.1002/int.21995","Generating Z-number based on OWA weights using maximum entropy","International Journal of Intelligent Systems","2018-05-07"
"Green blasting policy: simultaneous forecast of vertical and horizontal distribution of dust emissions using artificial causality-weighted neural network","Q13442814","Rehan Sadiq","10.1016/j.jclepro.2020.124562","Green blasting policy: simultaneous forecast of vertical and horizontal distribution of dust emissions using artificial causality-weighted neural network","Journal of Cleaner Production","2020-10-07"
"GreenPro-I: a risk-based life cycle assessment and decision-making methodology for process plant design","Q13442814","Rehan Sadiq","10.1016/s1364-8152(02)00028-2","GreenPro-I: a risk-based life cycle assessment and decision-making methodology for process plant design","Environmental Modelling & Software","2002-10-07"
"HEALTH2: A Holistic Environmental Assessment Lay Tool for Home Health","Q13442814","Rehan Sadiq","10.1139/cjce-2014-0228","HEALTH2: A Holistic Environmental Assessment Lay Tool for Home Health","Canadian Journal of Civil Engineering","2015-02-18"
"Handling and updating uncertain information in bow-tie analysis","Q13442814","Rehan Sadiq","10.1016/j.jlp.2011.06.018","Handling and updating uncertain information in bow-tie analysis","Journal of Loss Prevention in the Process Industries","2011-06-26"
"Handling data uncertainties in event tree analysis","Q13442814","Rehan Sadiq","10.1016/j.psep.2009.07.003","Handling data uncertainties in event tree analysis","Process Safety and Environmental Protection","2009-08-19"
"Handling incomplete and missing data in water network database using imputation methods","Q13442814","Rehan Sadiq","10.1080/23789689.2019.1600960","Handling incomplete and missing data in water network database using imputation methods","Sustainable and Resilient Infrastructure","2019-04-24"
"Hazard assessment of hydraulic fracturing chemicals using an indexing method","Q13442814","Rehan Sadiq","10.1016/j.scitotenv.2017.11.099","Hazard assessment of hydraulic fracturing chemicals using an indexing method","Science of The Total Environment","2017-11-29"
"Heavy metals risk assessment in drinking water: an integrated probabilistic-fuzzy approach","Q13442814","Rehan Sadiq","10.1016/j.jenvman.2019.109514","Heavy metals risk assessment in drinking water: an integrated probabilistic-fuzzy approach","Journal of Environmental Management","2019-09-12"
"Human health assessment for remediation technologies (HEART): a multi-criteria decision analysis tool","Q13442814","Rehan Sadiq","10.1007/s13198-016-0416-4","Human health assessment for remediation technologies (HEART): a multi-criteria decision analysis tool","International Journal of System Assurance Engineering and Management","2016-02-02"
"Human health risk-based life cycle assessment of drinking water treatment for heavy metal (loids) removal","Q13442814","Rehan Sadiq","10.1016/j.jclepro.2020.121980","Human health risk-based life cycle assessment of drinking water treatment for heavy metal (loids) removal","Journal of Cleaner Production","2020-05-11"
"IMPAKT: Oil and Gas Pipeline Integrity Management Program Assessment","Q13442814","Rehan Sadiq","10.1061/(asce)ps.1949-1204.0000326","IMPAKT: Oil and Gas Pipeline Integrity Management Program Assessment","Journal of Pipeline Systems Engineering and Practice","2018-05-26"
"Impact of catchment geophysical characteristics and climate on the regional variability of dissolved organic carbon (DOC) in surface water","Q13442814","Rehan Sadiq","10.1016/j.scitotenv.2014.05.091","Impact of catchment geophysical characteristics and climate on the regional variability of dissolved organic carbon (DOC) in surface water","Science of The Total Environment","2014-06-07"
"Impact of human operational factors on drinking water quality in small systems: an exploratory analysis","Q13442814","Rehan Sadiq","10.1016/j.jclepro.2016.05.179","Impact of human operational factors on drinking water quality in small systems: an exploratory analysis","Journal of Cleaner Production","2016-06-03"
"Impact of raw water quality and climate factors on the variability of drinking water quality in small systems","Q13442814","Rehan Sadiq","10.1007/s11269-016-1312-z","Impact of raw water quality and climate factors on the variability of drinking water quality in small systems","Water Resources Management","2016-04-07"
"Impact of roles assignation on heterogeneous populations in evolutionary dictator game","Q13442814","Rehan Sadiq","10.1038/srep06937","Impact of roles assignation on heterogeneous populations in evolutionary dictator game","Scientific Reports","2014-11-07"
"Impacts of Water Quality on the Spatiotemporal Susceptibility of Water Distribution Systems","Q13442814","Rehan Sadiq","10.1002/clen.201800247","Impacts of Water Quality on the Spatiotemporal Susceptibility of Water Distribution Systems","CLEAN – Soil, Air, Water","2019-03-25"
"Impacts of neighborhood densification on water-energy-carbon nexus: investigating water distribution and residential landscaping system","Q13442814","Rehan Sadiq","10.1016/j.jclepro.2017.04.113","Impacts of neighborhood densification on water-energy-carbon nexus: investigating water distribution and residential landscaping system","Journal of Cleaner Production","2017-04-19"
"Improving the capital deployment efficiency: An infrastructure investment planning process in transportation project","Q13442814","Rehan Sadiq","10.1016/j.retrec.2021.101048","Improving the capital deployment efficiency: An infrastructure investment planning process in transportation project","Research in Transportation Economics","2021-03-11"
"Improving the energy efficiency of the existing building stock: A critical review of commercial and institutional buildings","Q13442814","Rehan Sadiq","10.1016/j.rser.2015.09.084","Improving the energy efficiency of the existing building stock: A critical review of commercial and institutional buildings","Renewable and Sustainable Energy Reviews","2015-11-10"
"Infrastructure at the crossroads-beyond sustainability","Q13442814","Rehan Sadiq","10.3389/frsc.2020.593908","Infrastructure at the crossroads-beyond sustainability","Frontiers in Sustainable Cities","2020-10-20"
"Inspection and maintenance of oil & gas pipelines: a review of policies","Q13442814","Rehan Sadiq","10.1080/15732479.2016.1187632","Inspection and maintenance of oil & gas pipelines: a review of policies","Structure and Infrastructure Engineering","2016-06-17"
"Integrated decision support system for prognostic and diagnostic analyses of water distribution system failures","Q13442814","Rehan Sadiq","10.1007/s11269-016-1326-6","Integrated decision support system for prognostic and diagnostic analyses of water distribution system failures","Water Resources Management","2016-04-14"
"Integrated level of service index for buried water infrastructure: Selection and development of performance indicators","Q13442814","Rehan Sadiq","10.1016/j.scs.2021.102799","Integrated level of service index for buried water infrastructure: Selection and development of performance indicators","Sustainable Cities and Society","2021-02-23"
"Integrated planning framework for urban stormwater management: one water approach","Q13442814","Rehan Sadiq","10.1080/23789689.2020.1871542","Integrated planning framework for urban stormwater management: one water approach","Sustainable and Resilient Infrastructure","2021-01-21"
"Integrating Bayesian Linear Regression with Ordered Weighted Averaging: Uncertainty Analysis for Predicting Water Main Failures","Q13442814","Rehan Sadiq","10.1061/ajrua6.0000820","Integrating Bayesian Linear Regression with Ordered Weighted Averaging: Uncertainty Analysis for Predicting Water Main Failures","ASCE-ASME Journal of Risk and Uncertainty in Engineering Systems, Part A: Civil Engineering","2015-04-08"
"Integrating failure prediction models for water mains: Bayesian belief network based data fusion","Q13442814","Rehan Sadiq","10.1016/j.knosys.2015.05.002","Integrating failure prediction models for water mains: Bayesian belief network based data fusion","Knowledge-Based Systems","2015-05-09"
"Integrating indicators for performance assessment of small water utilities using ordered weighted averaging (OWA) operators","Q13442814","Rehan Sadiq","10.1016/j.eswa.2009.12.027","Integrating indicators for performance assessment of small water utilities using ordered weighted averaging (OWA) operators","Expert Systems with Applications","2009-12-17"
"Intentional contamination of water distribution networks: developing indicators for sensitivity and vulnerability assessments","Q13442814","Rehan Sadiq","10.1007/s00477-017-1415-y","Intentional contamination of water distribution networks: developing indicators for sensitivity and vulnerability assessments","Stochastic Environmental Research and Risk Assessment","2017-04-18"
"Inter-University sustainability benchmarking for Canadian higher education institutions: Water, energy, and carbon flows for technical-level decision-making","Q13442814","Rehan Sadiq","10.3390/su11092599","Inter-University sustainability benchmarking for Canadian higher education institutions: Water, energy, and carbon flows for technical-level decision-making","Sustainability","2019-05-09"
"Inter-Utility Performance Benchmarking Model for Small-to-Medium-Sized Water Utilities: Aggregated Performance Indices","Q13442814","Rehan Sadiq","10.1061/(asce)wr.1943-5452.0000552","Inter-Utility Performance Benchmarking Model for Small-to-Medium-Sized Water Utilities: Aggregated Performance Indices","Journal of Water Resources Planning and Management","2015-06-22"
"International Journal of System Assurance Engineering and Management","Q13442814","Rehan Sadiq","10.1007/13198.0976-4348","International Journal of System Assurance Engineering and Management","Springer Science and Business Media LLC","2013-05-25"
"Interpreting drinking water quality in the distribution system using Dempster–Shafer theory of evidence","Q13442814","Rehan Sadiq","10.1016/j.chemosphere.2004.11.087","Interpreting drinking water quality in the distribution system using Dempster–Shafer theory of evidence","Chemosphere","2005-01-19"
"Interval belief structure rule-based system using extended fuzzy Dempster-Shafer inference","Q13442814","Rehan Sadiq","10.1109/icsmc.2011.6084122","Interval belief structure rule-based system using extended fuzzy Dempster-Shafer inference","2011 IEEE International Conference on Systems, Man, and Cybernetics","2011-11-23"
"Intra-utility performance management model (In-UPM) for the sustainability of small to medium sized water utilities: Conceptualization to development","Q13442814","Rehan Sadiq","10.1016/j.jclepro.2016.06.003","Intra-utility performance management model (In-UPM) for the sustainability of small to medium sized water utilities: Conceptualization to development","Journal of Cleaner Production","2016-06-04"
"Investigating evidential reasoning for the interpretation of microbial water quality in a distribution network","Q13442814","Rehan Sadiq","10.1007/s00477-006-0044-7","Investigating evidential reasoning for the interpretation of microbial water quality in a distribution network","Stochastic Environmental Research and Risk Assessment","2006-03-08"
"Investigating the effects of design and management factors on DBPs levels in indoor aquatic centres","Q13442814","Rehan Sadiq","10.1016/j.scitotenv.2018.09.172","Investigating the effects of design and management factors on DBPs levels in indoor aquatic centres","Science of The Total Environment","2018-09-17"
"Investigating the impacts of plausible Canadian policies and their supporting mechanisms on export-based regional air pollution in China: A cement manufacturing case study","Q13442814","Rehan Sadiq","10.1139/facets-2017-0109","Investigating the impacts of plausible Canadian policies and their supporting mechanisms on export-based regional air pollution in China: A cement manufacturing case study","FACETS","2018-10-11"
"Investigating the impacts of urban densification on buried water infrastructure through DPSIR framework","Q13442814","Rehan Sadiq","10.1016/j.jclepro.2020.120897","Investigating the impacts of urban densification on buried water infrastructure through DPSIR framework","Journal of Cleaner Production","2020-03-05"
"Investigating the public health risks of low impact developments at residential, neighbourhood, and municipal levels","Q13442814","Rehan Sadiq","10.1016/j.scitotenv.2020.140778","Investigating the public health risks of low impact developments at residential, neighbourhood, and municipal levels","Science of The Total Environment","2020-07-06"
"Investigating unregulated disinfection byproduct reduction efficiencies in drinking waters using zirconium oxychloride, a novel coagulant","Q13442814","Rehan Sadiq","10.1016/j.jwpe.2020.101496","Investigating unregulated disinfection byproduct reduction efficiencies in drinking waters using zirconium oxychloride, a novel coagulant","Journal of Water Process Engineering","2020-07-11"
"Landmine detection using an autonomous terrain‐scanning robot","Q13442814","Rehan Sadiq","10.1108/01439910510593938","Landmine detection using an autonomous terrain‐scanning robot","Industrial Robot: An International Journal","2005-06-01"
"Leakage detection and location in water distribution systems using a fuzzy-based methodology","Q13442814","Rehan Sadiq","10.1080/1573062x.2011.617829","Leakage detection and location in water distribution systems using a fuzzy-based methodology","Urban Water Journal","2011-10-18"
"Life Cycle Thinking–Based Selection of Building Facades","Q13442814","Rehan Sadiq","10.1061/(asce)ae.1943-5568.0000333","Life Cycle Thinking–Based Selection of Building Facades","Journal of Architectural Engineering","2018-09-18"
"Life cycle assessment of low-temperature thermal desorption-based technologies for drill cuttings treatment","Q13442814","Rehan Sadiq","10.1016/j.jhazmat.2020.123865","Life cycle assessment of low-temperature thermal desorption-based technologies for drill cuttings treatment","Journal of Hazardous Materials","2020-09-02"
"Life cycle assessment of residential buildings: a case study in Canada","Q13442814","Rehan Sadiq","10.1016/j.enbuild.2020.109940","Life cycle assessment of residential buildings: a case study in Canada","Energy and Buildings","2020-04-06"
"Life cycle cost analysis for recycling high-tech minerals from waste mobile phones in China","Q13442814","Rehan Sadiq","10.1016/j.jclepro.2019.119498","Life cycle cost analysis for recycling high-tech minerals from waste mobile phones in China","Journal of Cleaner Production","2019-12-04"
"Life cycle greenhouse gas footprint of shale gas: a probabilistic approach","Q13442814","Rehan Sadiq","10.1007/s00477-014-0874-7","Life cycle greenhouse gas footprint of shale gas: a probabilistic approach","Stochastic Environmental Research and Risk Assessment","2014-04-10"
"Life cycle iNdeX (LInX): a new indexing procedure for process and product design and decision-making","Q13442814","Rehan Sadiq","10.1016/s0959-6526(02)00194-4","Life cycle iNdeX (LInX): a new indexing procedure for process and product design and decision-making","Journal of Cleaner Production","2003-03-04"
"Life cycle sustainability assessment (LCSA) for selection of sewer pipe materials","Q13442814","Rehan Sadiq","10.1007/s10098-014-0849-x","Life cycle sustainability assessment (LCSA) for selection of sewer pipe materials","Clean Technologies and Environmental Policy","2014-09-18"
"Low-temperature thermal desorption and secure landfill for oil-based drill cuttings management: Pollution control, human health risk, and probabilistic cost assessment","Q13442814","Rehan Sadiq","10.1016/j.jhazmat.2020.124570","Low-temperature thermal desorption and secure landfill for oil-based drill cuttings management: Pollution control, human health risk, and probabilistic cost assessment","Journal of Hazardous Materials","2020-11-14"
"Machine learning approaches to predict coagulant dosage in water treatment plants","Q13442814","Rehan Sadiq","10.1007/s13198-013-0166-5","Machine learning approaches to predict coagulant dosage in water treatment plants","International Journal of System Assurance Engineering and Management","2013-05-17"
"Management of Civil Infrastructure Systems: QFD-Based Approach","Q13442814","Rehan Sadiq","10.1061/(asce)is.1943-555x.0000150","Management of Civil Infrastructure Systems: QFD-Based Approach","Journal of Infrastructure Systems","2013-02-21"
"Management of failure risk in large-diameter buried pipes using fuzzy-based techniques","Q13442814","Rehan Sadiq","10.2166/aqua.2006.075","Management of failure risk in large-diameter buried pipes using fuzzy-based techniques","Journal of Water Supply: Research and Technology - Aqua","2015-12-15"
"Managing water main breaks in distribution networks––A risk-based decision making","Q13442814","Rehan Sadiq","10.1016/j.ress.2019.106581","Managing water main breaks in distribution networks––A risk-based decision making","Reliability Engineering & System Safety","2019-07-13"
"Mapping safety culture attributes with integrity management program to achieve assessment goals: A framework for oil and gas pipelines industry","Q13442814","Rehan Sadiq","10.1016/j.jsr.2018.12.010","Mapping safety culture attributes with integrity management program to achieve assessment goals: A framework for oil and gas pipelines industry","Journal of Safety Research","2018-12-28"
"Marine water quality assessment of synthetic-based drilling waste discharges","Q13442814","Rehan Sadiq","10.1080/00207230304729","Marine water quality assessment of synthetic-based drilling waste discharges","International Journal of Environmental Studies","2003-09-18"
"Mattress","Q13442814","Rehan Sadiq","10.1163/1574-9347_bnp_e726670","Mattress","Brill’s New Pauly","2014-08-18"
"Microbial quality of reclaimed water for urban reuses: Probabilistic risk-based investigation and recommendations","Q13442814","Rehan Sadiq","10.1016/j.scitotenv.2016.10.105","Microbial quality of reclaimed water for urban reuses: Probabilistic risk-based investigation and recommendations","Science of The Total Environment","2016-10-28"
"Minimizing the impacts of contaminant intrusion in small water distribution networks through booster chlorination optimization","Q13442814","Rehan Sadiq","10.1007/s00477-017-1440-x","Minimizing the impacts of contaminant intrusion in small water distribution networks through booster chlorination optimization","Stochastic Environmental Research and Risk Assessment","2017-08-01"
"Modeling DBPs formation in drinking water in residential plumbing pipes and hot water tanks","Q13442814","Rehan Sadiq","10.1016/j.watres.2010.08.002","Modeling DBPs formation in drinking water in residential plumbing pipes and hot water tanks","Water Research","2010-08-12"
"Modeling contaminant intrusion in water distribution networks based on D numbers","Q13442814","Rehan Sadiq","10.1016/j.eswa.2010.07.004","Modeling contaminant intrusion in water distribution networks based on D numbers","Expert Systems with Applications","2010-07-20"
"Modeling exposure period for solar disinfection (SODIS) under varying turbidity and cloud cover conditions","Q13442814","Rehan Sadiq","10.1007/s10098-013-0677-4","Modeling exposure period for solar disinfection (SODIS) under varying turbidity and cloud cover conditions","Clean Technologies and Environmental Policy","2013-10-03"
"Modeling failure risk in buried pipes using fuzzy Markov deterioration process","Q13442814","Rehan Sadiq","10.1061/40745(146)7","Modeling failure risk in buried pipes using fuzzy Markov deterioration process","Pipeline Engineering and Construction","2004-11-17"
"Modeling hydraulics and water quality in distribution networks: a review of existing mathematical techniques and software","Q13442814","Rehan Sadiq","10.1016/b978-0-12-820644-7.00022-0","Modeling hydraulics and water quality in distribution networks: a review of existing mathematical techniques and software","Water Engineering Modeling and Mathematic Tools","2021-02-21"
"Modeling of heterotrophic bacteria in a water distribution system","Q13442814","Rehan Sadiq","10.1016/j.watres.2008.11.030","Modeling of heterotrophic bacteria in a water distribution system","Water Research","2008-12-05"
"Modeling pipe deterioration using soil properties-an application of fuzzy logic expert system","Q13442814","Rehan Sadiq","10.1061/40745(146)73","Modeling pipe deterioration using soil properties-an application of fuzzy logic expert system","Pipeline Engineering and Construction","2004-11-17"
