"Len","P31","P50","P356","P1476","P1433","P577"
"Sediment Transport Dynamics-Pore-Water Pressure Effects on the Detachment of Cohesive Streambeds: Seepage Forces and Matric Suction","Q13442814","Marwan Hassan","10.1002/esp.287","Sediment Transport Dynamics-Pore-Water Pressure Effects on the Detachment of Cohesive Streambeds: Seepage Forces and Matric Suction","Earth Surface Processes and Landforms","2002-09-10"
"Sediment Transport and Channel Morphology Implications for Fish Habitat","Q13442814","Marwan Hassan","10.1201/9781315120584-17","Sediment Transport and Channel Morphology Implications for Fish Habitat","Open Channel Hydraulics, River Hydraulic Structures and Fluvial Geomorphology","2017-10-24"
"Sediment mobility in fish bearing streams: the influence of floods and spawning salmon","Q13442814","Marwan Hassan","10.1111/j.1752-1688.2004.tb01068.x","Sediment mobility in fish bearing streams: the influence of floods and spawning salmon","Journal of the American Water Resources Association","2007-06-09"
"Sediment residence time distributions: Theory and application from bed elevation measurements","Q13442814","Marwan Hassan","10.1002/jgrf.20151","Sediment residence time distributions: Theory and application from bed elevation measurements","Journal of Geophysical Research: Earth Surface","2013-10-12"
"Sediment storage, partial transport, and the evolution of an experimental gravel bed under changing sediment supply regimes","Q13442814","Marwan Hassan","10.1016/j.geomorph.2018.12.018","Sediment storage, partial transport, and the evolution of an experimental gravel bed under changing sediment supply regimes","Geomorphology","2019-01-07"
"Sediment transport and Channe l Morphology","Q13442814","Marwan Hassan","10.3990/1.9789036538886","Sediment transport and Channe l Morphology","University Library/University of Twente","2015-04-08"
"Sediment transport at low rate in gravel-bed rivers","Q13442814","Marwan Hassan","10.1007/978-94-017-0347-5_36","Sediment transport at low rate in gravel-bed rivers","Sedimentation and Sediment Transport","2013-04-30"
"Sensitivity of stoichiometric ratios in the Mississippi River to hydrologic variability","Q13442814","Marwan Hassan","10.1002/2013jg002585","Sensitivity of stoichiometric ratios in the Mississippi River to hydrologic variability","Journal of Geophysical Research: Biogeosciences","2014-05-11"
"Simulated wood budgets in two mountain streams","Q13442814","Marwan Hassan","10.1016/j.geomorph.2016.02.010","Simulated wood budgets in two mountain streams","Geomorphology","2016-02-15"
"Simulation of individual particle movement in a gravel streambed","Q13442814","Marwan Hassan","10.1002/esp.305","Simulation of individual particle movement in a gravel streambed","Earth Surface Processes and Landforms","2002-08-25"
"Size and distance of travel of unconstrained clasts on a streambed","Q13442814","Marwan Hassan","10.1029/91wr02523","Size and distance of travel of unconstrained clasts on a streambed","Water Resources Research","2004-02-04"
"Spatial and Temporal Patterns of Sediment Transport in a Small Stream","Q13442814","Marwan Hassan","10.1016/j.geomorph.2019.03.018","Spatial and Temporal Patterns of Sediment Transport in a Small Stream","Geomorphology","2019-03-18"
"Spatial and temporal patterns of sediment storage over 45 years in Carnation Creek, BC, a previously glaciated mountain catchment","Q13442814","Marwan Hassan","10.1002/esp.4595","Spatial and temporal patterns of sediment storage over 45 years in Carnation Creek, BC, a previously glaciated mountain catchment","Earth Surface Processes and Landforms","2019-02-02"
"Spatial and temporal variation of in‐reach suspended sediment dynamics along the mainstem of Changjiang (Yangtze River), China","Q13442814","Marwan Hassan","10.1029/2010wr009228","Spatial and temporal variation of in‐reach suspended sediment dynamics along the mainstem of Changjiang (Yangtze River), China","Water Resources Research","2010-11-23"
"Spatial and temporal variation of sediment yield in the landscape: Example of Huanghe (Yellow River)","Q13442814","Marwan Hassan","10.1029/2008gl033428","Spatial and temporal variation of sediment yield in the landscape: Example of Huanghe (Yellow River)","Geophysical Research Letters","2008-03-17"
"Spatial linkages between geomorphic and hydraulic conditions and invertebrate drift characteristics in a small mountain stream","Q13442814","Marwan Hassan","10.1139/cjfas-2017-0170","Spatial linkages between geomorphic and hydraulic conditions and invertebrate drift characteristics in a small mountain stream","Canadian Journal of Fisheries and Aquatic Sciences","2018-01-18"
"Spatial organization of process domains in headwater drainage basins of a glaciated foothills region with complex longitudinal profiles","Q13442814","Marwan Hassan","10.1029/2010wr009800","Spatial organization of process domains in headwater drainage basins of a glaciated foothills region with complex longitudinal profiles","Water Resources Research","2011-05-06"
"Statistical charactersitics of fluvial displacements of individual particles","Q13442814","Marwan Hassan","10.1007/bf01083484","Statistical charactersitics of fluvial displacements of individual particles","Radiophysics and Quantum Electronics","2005-02-05"
"Step-pool channel features","Q13442814","Marwan Hassan","10.1016/b978-0-12-818234-5.00004-3","Step-pool channel features","Reference Module in Earth Systems and Environmental Sciences","2020-12-03"
"Step‐pool stability: Testing the jammed state hypothesis","Q13442814","Marwan Hassan","10.1029/2009jf001365","Step‐pool stability: Testing the jammed state hypothesis","Journal of Geophysical Research: Earth Surface","2010-04-16"
"Suspended sediment balance for the mainstem of Changjiang (Yangtze River) in the period 1964–1985","Q13442814","Marwan Hassan","10.1002/hyp.7996","Suspended sediment balance for the mainstem of Changjiang (Yangtze River) in the period 1964–1985","Hydrological Processes","2011-01-19"
"Suspended sediment dynamics at high and low flows in an agricultural watershed","Q13442814","Marwan Hassan","10.1002/hyp.6743","Suspended sediment dynamics at high and low flows in an agricultural watershed","Hydrological Processes","2007-09-17"
"Temporal pattern and memory in sediment transport in a step-pool channel: an experimental study","Q13442814","Marwan Hassan","10.1002/2015wr016929","Temporal pattern and memory in sediment transport in a step-pool channel: an experimental study","Water Resources Research","2015-11-18"
"The effect of episodic sediment supply on bedload variability and sediment mobility","Q13442814","Marwan Hassan","10.1029/2017wr022280","The effect of episodic sediment supply on bedload variability and sediment mobility","Water Resources Research","2018-08-30"
"The effect of hydraulic regime on vertical sorting in gravel-bed rivers","Q13442814","Marwan Hassan","10.1029/2005wr004707","The effect of hydraulic regime on vertical sorting in gravel-bed rivers","Water Resources Research","2006-09-13"
"The effects of discharge and slope on hyporheic flow in step‐pool morphologies","Q13442814","Marwan Hassan","10.1002/hyp.10155","The effects of discharge and slope on hyporheic flow in step‐pool morphologies","Hydrological Processes","2014-01-16"
"The impact of urbanization on temporal changes in sediment transport in a gravel bed channel in Southern Ontario, Canada","Q13442814","Marwan Hassan","10.1002/2016wr020288","The impact of urbanization on temporal changes in sediment transport in a gravel bed channel in Southern Ontario, Canada","Water Resources Research","2017-09-25"
"The influence of channel morphology on bedload path lengths: Insights from a survival process model","Q13442814","Marwan Hassan","10.1002/esp.4946","The influence of channel morphology on bedload path lengths: Insights from a survival process model","Earth Surface Processes and Landforms","2020-07-04"
"The influence of microform bed roughness elements on flow and sediment transport in gravel bed rivers","Q13442814","Marwan Hassan","10.1002/esp.3290150807","The influence of microform bed roughness elements on flow and sediment transport in gravel bed rivers","Earth Surface Processes and Landforms","2007-02-03"
"The influence of microform bed roughness elements on flow and sediment transport in gravel bed rivers: a reply","Q13442814","Marwan Hassan","10.1002/esp.3290170512","The influence of microform bed roughness elements on flow and sediment transport in gravel bed rivers: a reply","Earth Surface Processes and Landforms","2007-02-03"
"The origin of fine sediment determines the observations of suspended sediment fluxes under unsteady flow conditions","Q13442814","Marwan Hassan","10.1029/2018wr022982","The origin of fine sediment determines the observations of suspended sediment fluxes under unsteady flow conditions","Water Resources Research","2018-07-07"
"The relative stability of salmon redds and unspawned streambeds","Q13442814","Marwan Hassan","10.1002/2015wr016908","The relative stability of salmon redds and unspawned streambeds","Water Resources Research","2015-07-14"
"The role of channel morphology on the mobility and dispersion of bed sediment in a small gravel‐bed stream","Q13442814","Marwan Hassan","10.1002/esp.3980","The role of channel morphology on the mobility and dispersion of bed sediment in a small gravel‐bed stream","Earth Surface Processes and Landforms","2016-05-26"
"The transport of gravel in an ephemeral sandbed river","Q13442814","Marwan Hassan","10.1002/(sici)1096-9837(199907)24:7<623::aid-esp978>3.0.co;2-2","The transport of gravel in an ephemeral sandbed river","Earth Surface Processes and Landforms","2002-09-10"
"Three-dimensional resolution of bedload transport with binocular computer vision","Q13442814","Marwan Hassan","10.21203/rs.3.rs-19923/v1","Three-dimensional resolution of bedload transport with binocular computer vision","Research Square","2020-04-02"
"Toward a practical method for estimating sediment‐transport rates in gravel‐bed rivers","Q13442814","Marwan Hassan","10.1002/esp.301","Toward a practical method for estimating sediment‐transport rates in gravel‐bed rivers","Earth Surface Processes and Landforms","2002-09-10"
"Tracers for sediment movement","Q13442814","Marwan Hassan","10.1007/springerreference_76609","Tracers for sediment movement","SpringerReference","2012-01-20"
"Transport and dispersion of coarse bed material, Nahal Hebron","Q13442814","Marwan Hassan","10.3133/ofr63118","Transport and dispersion of coarse bed material, Nahal Hebron","Open-File Report","2018-08-15"
"Turbulent flow over an evolving gravel bed","Q13442814","Marwan Hassan","10.2208/prohe1975.33.481","Turbulent flow over an evolving gravel bed","PROCEEDINGS OF THE JAPANESE CONFERENCE ON HYDRAULICS","2011-08-16"
"Upland gravel-bed rivers with low sediment transport","Q13442814","Marwan Hassan","10.1016/s0928-2025(05)80015-x","Upland gravel-bed rivers with low sediment transport","Developments in Earth Surface Processes","2007-09-08"
"Use of tracers in fluvial geomorphology","Q13442814","Marwan Hassan","10.1002/0470868333.ch14","Use of tracers in fluvial geomorphology","Tools in Fluvial Geomorphology","2005-09-29"
"Using LiDAR to characterize logjams in lowland rivers","Q13442814","Marwan Hassan","10.1016/j.geomorph.2015.06.036","Using LiDAR to characterize logjams in lowland rivers","Geomorphology","2015-07-03"
"Variable hillslope‐channel coupling and channel characteristics of forested mountain streams in glaciated landscapes","Q13442814","Marwan Hassan","10.1002/esp.4527","Variable hillslope‐channel coupling and channel characteristics of forested mountain streams in glaciated landscapes","Earth Surface Processes and Landforms","2018-10-11"
"Vertical exchange of coarse bedload in desert streams","Q13442814","Marwan Hassan","10.1144/gsl.sp.1987.035.01.02","Vertical exchange of coarse bedload in desert streams","Geological Society, London, Special Publications","2008-04-30"
"Vertical mixing of coarse particles in gravel bed rivers:  a kinematic model","Q13442814","Marwan Hassan","10.1029/93wr03351","Vertical mixing of coarse particles in gravel bed rivers:  a kinematic model","Water Resources Research","2004-02-04"
"Video‐based gravel transport measurements with a flume mounted light table","Q13442814","Marwan Hassan","10.1002/esp.1675","Video‐based gravel transport measurements with a flume mounted light table","Earth Surface Processes and Landforms","2008-05-13"
"Virtual rate and mean distance of travel of individual clasts in gravel‐bed channels","Q13442814","Marwan Hassan","10.1002/esp.3290170607","Virtual rate and mean distance of travel of individual clasts in gravel‐bed channels","Earth Surface Processes and Landforms","2007-02-03"
"What are the contemporary sources of sediment in the Mississippi River?","Q13442814","Marwan Hassan","10.1002/2017gl074046","What are the contemporary sources of sediment in the Mississippi River?","Geophysical Research Letters","2017-08-29"
"What controls the disequilibrium state of gravel‐bed rivers?","Q13442814","Marwan Hassan","10.1002/esp.4695","What controls the disequilibrium state of gravel‐bed rivers?","Earth Surface Processes and Landforms","2019-06-29"
"What is Hidden in Hiding Functions? The Influence of Packing on Size-Selective Transport","Q13442814","Marwan Hassan","10.1130/abs/2016am-285670","What is Hidden in Hiding Functions? The Influence of Packing on Size-Selective Transport","Geological Society of America","2016-10-20"
"Width variations control the development of grain structuring in steep step‐pool dominated streams: insight from flume experiments","Q13442814","Marwan Hassan","10.1002/esp.4815","Width variations control the development of grain structuring in steep step‐pool dominated streams: insight from flume experiments","Earth Surface Processes and Landforms","2020-01-17"
"Wood Load, Jam Formation and Sediment Storage in a Gravel-Bed Stream","Q13442814","Marwan Hassan","10.1029/2012jf002385","Wood Load, Jam Formation and Sediment Storage in a Gravel-Bed Stream","Journal of Geophysical Research: Earth Surface","2012-10-05"
"Wood dynamics in upland streams under different disturbance regimes","Q13442814","Marwan Hassan","10.1002/esp.3356","Wood dynamics in upland streams under different disturbance regimes","Earth Surface Processes and Landforms","2012-10-26"
"drainage basin dynamics","Q13442814","Marwan Hassan","10.1007/springerreference_43118","drainage basin dynamics","SpringerReference","2011-08-24"
