"Len","P31","P50","P356","P1476","P1433","P577"
"New microsatellite markers for examining genetic variation in peripheral and core populations of the coastal giant salamander (Dicamptodon tenebrosus)","Q13442814","Q56794616","10.1371/journal.pone.0014333","New microsatellite markers for examining genetic variation in peripheral and core populations of the coastal giant salamander (Dicamptodon tenebrosus)","PLoS ONE","2010-12-15"
"Nonlinear variation of stream–forest linkage along a stream‐size gradient: an assessment using biogeochemical proxies of in‐stream fine particulate organic matter","Q13442814","Q56794616","10.1111/1365-2664.12099","Nonlinear variation of stream–forest linkage along a stream‐size gradient: an assessment using biogeochemical proxies of in‐stream fine particulate organic matter","Journal of Applied Ecology","2013-05-23"
"Nutrients and sediment modify the impacts of a neonicotinoid insecticide on freshwater community structure and ecosystem functioning","Q13442814","Q56794616","10.1016/j.scitotenv.2019.06.301","Nutrients and sediment modify the impacts of a neonicotinoid insecticide on freshwater community structure and ecosystem functioning","Science of The Total Environment","2019-07-11"
"Organic matter inputs into headwater streams of southwestern British Columbia as a function of riparian reserves and time since harvesting","Q13442814","Q56794616","10.1016/j.foreco.2010.08.016","Organic matter inputs into headwater streams of southwestern British Columbia as a function of riparian reserves and time since harvesting","Forest Ecology and Management","2010-09-25"
"Pacific coast rivers of Canada and Alaska","Q13442814","Q56794616","10.1016/b978-012088253-3/50019-5","Pacific coast rivers of Canada and Alaska","Rivers of North America","2007-05-16"
"Patchy resources in a heterogeneous environment: effects of leaf litter and forest cover on colonisation patterns of invertebrates in a British Columbian stream","Q13442814","Q56794616","10.1127/0003-9136/2004/0161-0307","Patchy resources in a heterogeneous environment: effects of leaf litter and forest cover on colonisation patterns of invertebrates in a British Columbian stream","Archiv für Hydrobiologie","2004-11-08"
"Patterns of Geographic Variation in Adult Flight Phenology of Some Nearctic Trichoptera","Q13442814","Q56794616","10.1007/978-94-009-4043-7_39","Patterns of Geographic Variation in Adult Flight Phenology of Some Nearctic Trichoptera","Proceedings of the Fifth International Symposium on Trichoptera","2011-10-18"
"Phenology and ecology of some Trichoptera in a low-gradient boreal stream","Q13442814","Q56794616","10.2307/1467706","Phenology and ecology of some Trichoptera in a low-gradient boreal stream","Journal of the North American Benthological Society","2006-05-08"
"Predation risk and competition effects on the life-history characteristics of larval Oregon spotted frog and larval red-legged frog","Q13442814","Q56794616","10.1007/s00442-002-0981-x","Predation risk and competition effects on the life-history characteristics of larval Oregon spotted frog and larval red-legged frog","Oecologia","2003-02-13"
"Predator-induced reduction of freshwater carbon dioxide emissions","Q13442814","Q56794616","10.1038/ngeo1734","Predator-induced reduction of freshwater carbon dioxide emissions","Nature Geoscience","2013-02-15"
"Prevalence of the chytrid fungus (Batrachochytrium dendrobatidis) in Western Toads in southwestern British Columbia, Canada","Q13442814","Q56794616","10.1898/1051-1733-90.1.35","Prevalence of the chytrid fungus (Batrachochytrium dendrobatidis) in Western Toads in southwestern British Columbia, Canada","Northwestern Naturalist","2009-04-09"
"Prey selection and distribution of a predaceous, net-spinning caddisfly, Neureclipsis bimaculata (Polycentropodidae)","Q13442814","Q56794616","10.1139/z84-228","Prey selection and distribution of a predaceous, net-spinning caddisfly, Neureclipsis bimaculata (Polycentropodidae)","Canadian Journal of Zoology","2009-12-21"
"Principles for ensuring healthy and productive freshwater ecosystems that support sustainable fisheries","Q13442814","Q56794616","10.1139/er-2013-0038","Principles for ensuring healthy and productive freshwater ecosystems that support sustainable fisheries","Environmental Reviews","2013-10-29"
"Processing of Aquatic Invertebrates Colonizing Decomposing Litter","Q13442814","Q56794616","10.1007/978-3-030-30515-4_49","Processing of Aquatic Invertebrates Colonizing Decomposing Litter","Methods to Study Litter Decomposition","2020-07-30"
"Programme Committee Members","Q13442814","Q56794616","10.1109/iccpct.2014.7055068","Programme Committee Members","2014 International Conference on Circuits, Power and Computing Technologies [ICCPCT-2014]","2015-03-10"
"Progress towards understanding the structure, function, and ecological significance of small stream channels and their riparian zones","Q13442814","Q56794616","10.1139/x03-146","Progress towards understanding the structure, function, and ecological significance of small stream channels and their riparian zones","Canadian Journal of Forest Research","2003-08-08"
"RIPARIAN COMMUNITIES ASSOCIATED WITH PACIFIC NORTHWEST HEADWATER STREAMS: ASSEMBLAGES, PROCESSES, AND UNIQUENESS1","Q13442814","Q56794616","10.1111/j.1752-1688.2005.tb04471.x","RIPARIAN COMMUNITIES ASSOCIATED WITH PACIFIC NORTHWEST HEADWATER STREAMS: ASSEMBLAGES, PROCESSES, AND UNIQUENESS1","Journal of the American Water Resources Association","2007-06-09"
"Relations of interannual differences in stream litter breakdown with discharge: Bioassessment implications","Q13442814","Q56794616","10.1002/ecs2.2423","Relations of interannual differences in stream litter breakdown with discharge: Bioassessment implications","Ecosphere","2018-09-17"
"Relative abundance and movement of the carabid beetle Scaphinotus angusticollis in managed coniferous riparian forests of southwestern British Columbia","Q13442814","Q56794616","10.1139/x10-003","Relative abundance and movement of the carabid beetle Scaphinotus angusticollis in managed coniferous riparian forests of southwestern British Columbia","Canadian Journal of Forest Research","2010-05-04"
"Resource subsidies across the land–freshwater interface and responses in recipient communities","Q13442814","Q56794616","10.1002/rra.1283","Resource subsidies across the land–freshwater interface and responses in recipient communities","River Research and Applications","2009-07-06"
"Resource subsidy flows across freshwater–terrestrial boundaries and influence on processes linking adjacent ecosystems","Q13442814","Q56794616","10.1002/eco.1488","Resource subsidy flows across freshwater–terrestrial boundaries and influence on processes linking adjacent ecosystems","Ecohydrology","2014-03-13"
"Responses of a macroinvertebrate community from a pristine, southern British Columbia, Canada, stream to metals in experimental mesocosms","Q13442814","Q56794616","10.1002/etc.5620190328","Responses of a macroinvertebrate community from a pristine, southern British Columbia, Canada, stream to metals in experimental mesocosms","Environmental Toxicology and Chemistry","2010-03-17"
"Responses of invertebrates and algae of a boreal coniferous forest stream to experimental manipulation of leaf litter inputs and shading","Q13442814","Q56794616","10.1023/b:hydr.0000026506.16929.e1","Responses of invertebrates and algae of a boreal coniferous forest stream to experimental manipulation of leaf litter inputs and shading","Hydrobiologia","2004-05-05"
"Responses of organic matter and macroinvertebrates to placements of boulder clusters in a small stream of southwestern British Columbia, Canada","Q13442814","Q56794616","10.1139/f03-013","Responses of organic matter and macroinvertebrates to placements of boulder clusters in a small stream of southwestern British Columbia, Canada","Canadian Journal of Fisheries and Aquatic Sciences","2003-06-17"
"Responses of periphyton and insect consumers to experimental manipulation of riparian buffer width along headwater streams in forested landscapes","Q13442814","Q56794616","10.1111/j.1365-2664.2003.00855.x","Responses of periphyton and insect consumers to experimental manipulation of riparian buffer width along headwater streams in forested landscapes","Journal of Applied Ecology","2003-12-15"
"Retention, breakdown, and biological utilisation of deciduous tree leaves in an estuarine tidal flat of southwestern British Columbia, Canada","Q13442814","Q56794616","10.1139/f07-151","Retention, breakdown, and biological utilisation of deciduous tree leaves in an estuarine tidal flat of southwestern British Columbia, Canada","Canadian Journal of Fisheries and Aquatic Sciences","2008-03-03"
"Revision and synopsis of the caddisfly genus Dicosmoecus (Trichoptera: Limnephilidae; Dicosmoecinae)","Q13442814","Q56794616","10.1080/01650428209361106","Revision and synopsis of the caddisfly genus Dicosmoecus (Trichoptera: Limnephilidae; Dicosmoecinae)","Aquatic Insects","2008-09-30"
"Revision of the Onocosmoecus unicolor group (Trichoptera: Limnephilidae, Dicosmoecinae)","Q13442814","Q56794616","10.1155/1986/82592","Revision of the Onocosmoecus unicolor group (Trichoptera: Limnephilidae, Dicosmoecinae)","Psyche: A Journal of Entomology","2008-04-17"
"Riparian canopy type and management history control forest-to-stream plant litter fluxes","Q13442814","Q56794616","10.1139/x11-067","Riparian canopy type and management history control forest-to-stream plant litter fluxes","Canadian Journal of Forest Research","2011-07-26"
"Riparian forest harvesting and its influence on benthic communities of small streams of sub-boreal British Columbia","Q13442814","Q56794616","10.1139/x06-286","Riparian forest harvesting and its influence on benthic communities of small streams of sub-boreal British Columbia","Canadian Journal of Forest Research","2007-07-31"
"Risk-sensitive foraging by juvenile signal crayfish (Pacifastacus leniusculus)","Q13442814","Q56794616","10.1139/z06-161","Risk-sensitive foraging by juvenile signal crayfish (Pacifastacus leniusculus)","Canadian Journal of Zoology","2007-05-08"
"Seasonal Changes of Benthic Macroinvertebrate Communites in Southwestern British Columbia","Q13442814","Q56794616","10.1007/s10750-013-1573-y","Seasonal Changes of Benthic Macroinvertebrate Communites in Southwestern British Columbia","Hydrobiologia","2013-06-21"
"Seasonal food limitation of detritivorous insects in a montane stream","Q13442814","Q56794616","10.2307/1940589","Seasonal food limitation of detritivorous insects in a montane stream","Ecology","2006-05-09"
"Sediment addition reduces the importance of predation on ecosystem functions in experimental stream channels","Q13442814","Q56794616","10.1139/cjfas-2015-0530","Sediment addition reduces the importance of predation on ecosystem functions in experimental stream channels","Canadian Journal of Fisheries and Aquatic Sciences","2016-06-17"
"Setting conservation targets for freshwater ecosystems in forested catchments","Q13442814","Q56794616","10.1017/cbo9781139175388.013","Setting conservation targets for freshwater ecosystems in forested catchments","Setting Conservation Targets for Managed Forest Landscapes","2012-06-19"
"Shoreline vegetation change in upstream and downstream reaches of three temperate streams dammed for hydroelectric generation in British Columbia.","Q13442814","Q56794616","10.1016/j.ecoleng.2008.12.005","Shoreline vegetation change in upstream and downstream reaches of three temperate streams dammed for hydroelectric generation in British Columbia.","Ecological Engineering","2009-01-30"
"Shredder-collector facilitation in stream detrital food webs: is there enough evidence?","Q13442814","Q56794616","10.2307/3546121","Shredder-collector facilitation in stream detrital food webs: is there enough evidence?","Oikos","2006-11-16"
"Small stonefly predators affect microbenthic and meiobenthic communities in stream leaf packs","Q13442814","Q56794616","10.1111/fwb.12622","Small stonefly predators affect microbenthic and meiobenthic communities in stream leaf packs","Freshwater Biology","2015-06-22"
"Some conceptual and operational considerations when measuring ‘resilience’: a response to Hodgson et al.","Q13442814","Q56794616","10.1016/j.tree.2015.10.005","Some conceptual and operational considerations when measuring ‘resilience’: a response to Hodgson et al.","Trends in Ecology & Evolution","2015-11-19"
"Spatial autocorrelation and fish production in freshwaters: a comment on Randall et al. (1995)1","Q13442814","Q56794616","10.1139/f99-105","Spatial autocorrelation and fish production in freshwaters: a comment on Randall et al. (1995)1","Canadian Journal of Fisheries and Aquatic Sciences","2011-04-24"
"Species traits and channel architecture mediate flow disturbance impacts on invertebrate drift","Q13442814","Q56794616","10.1111/fwb.12871","Species traits and channel architecture mediate flow disturbance impacts on invertebrate drift","Freshwater Biology","2016-11-24"
"Spiders and subsidies: results from the riparian zone of a coastal temperate rainforest","Q13442814","Q56794616","10.1111/j.1365-2656.2007.01240.x","Spiders and subsidies: results from the riparian zone of a coastal temperate rainforest","Journal of Animal Ecology","2007-05-19"
"Stage-specific interactions between dominant consumers within a small stream ecosystem: direct and indirect consequences","Q13442814","Q56794616","10.1899/12-078.1","Stage-specific interactions between dominant consumers within a small stream ecosystem: direct and indirect consequences","Freshwater Science","2013-01-28"
"Stream Ecology","Q13442814","Q56794616","10.1201/9781420031676-11","Stream Ecology","Stream Ecology and Self Purification","2020-12-22"
"Stream periphyton and benthic insect responses to additions of treated acid mine drainage in a continuous‐flow on‐site Mesocosm","Q13442814","Q56794616","10.1002/etc.5620111102","Stream periphyton and benthic insect responses to additions of treated acid mine drainage in a continuous‐flow on‐site Mesocosm","Environmental Toxicology and Chemistry","2010-03-16"
"Stronger effects of litter origin on the processing of conifer than broadleaf leaves: A test of home‐field advantage of stream litter breakdown","Q13442814","Q56794616","10.1111/fwb.13367","Stronger effects of litter origin on the processing of conifer than broadleaf leaves: A test of home‐field advantage of stream litter breakdown","Freshwater Biology","2019-07-19"
"Terrestrial invertebrates in the riparian zone: mechanisms underlying their unique diversity","Q13442814","Q56794616","10.1093/biosci/bix078","Terrestrial invertebrates in the riparian zone: mechanisms underlying their unique diversity","BioScience","2017-06-16"
"The effect of seston on the life history, growth, and distribution of Neureclipsis bimaculata (Trichoptera: Polycentropodidae) in a boreal river","Q13442814","Q56794616","10.1139/z83-325","The effect of seston on the life history, growth, and distribution of Neureclipsis bimaculata (Trichoptera: Polycentropodidae) in a boreal river","Canadian Journal of Zoology","2010-01-07"
"The influence of artificial light on stream and riparian ecosystems: questions, challenges, and perspectives","Q13442814","Q56794616","10.1890/es11-00241.1","The influence of artificial light on stream and riparian ecosystems: questions, challenges, and perspectives","Ecosphere","2011-11-16"
"The role of stoneflies in enhancing growth of trout: a test of the importance of predator-predator facilitation within a stream community","Q13442814","Q56794616","10.2307/3546588","The role of stoneflies in enhancing growth of trout: a test of the importance of predator-predator facilitation within a stream community","Oikos","2006-11-16"
"Transport and settlement of organic matter in small streams","Q13442814","Q56794616","10.1111/j.1365-2427.2009.02292.x","Transport and settlement of organic matter in small streams","Freshwater Biology","2009-07-31"
"Trophic interactions between insects and stream-associated amphibians in steep, cobble-bottom streams of the Pacific Coast of North America","Q13442814","Q56794616","10.3390/insects3020432","Trophic interactions between insects and stream-associated amphibians in steep, cobble-bottom streams of the Pacific Coast of North America","Insects","2012-04-10"
"Trophic interception: how a boundary‐foraging organism influences cross‐ecosystem fluxes","Q13442814","Q56794616","10.1111/j.0030-1299.2007.15982.x","Trophic interception: how a boundary‐foraging organism influences cross‐ecosystem fluxes","Oikos","2007-12-03"
"Trophic‐level dependent effects on CO2 emissions from experimental stream ecosystems","Q13442814","Q56794616","10.1111/gcb.12516","Trophic‐level dependent effects on CO2 emissions from experimental stream ecosystems","Global Change Biology","2014-02-07"
"Understanding processes and downstream linkages of headwater streams","Q13442814","Q56794616","10.1641/0006-3568(2002)052[0905:upadlo]2.0.co;2","Understanding processes and downstream linkages of headwater streams","BioScience","2006-07-13"
"Unidirectional prey–predator facilitation: apparent prey enhance predators' foraging success on cryptic prey","Q13442814","Q56794616","10.1098/rsbl.2007.0087","Unidirectional prey–predator facilitation: apparent prey enhance predators' foraging success on cryptic prey","Biology Letters","2007-04-11"
"Urgent plea for global protection of springs","Q13442814","Q56794616","10.1111/cobi.13576","Urgent plea for global protection of springs","Conservation Biology","2020-09-02"
"WILDLIFE ECOLOGY AND MANAGEMENT","Q13442814","Q56794616","10.2193/2006-532","WILDLIFE ECOLOGY AND MANAGEMENT","Journal of Wildlife Management","2007-03-01"
"Warming alters food web-driven changes in the CO2 flux of experimental pond ecosystems","Q13442814","Q56794616","10.1098/rsbl.2015.0785","Warming alters food web-driven changes in the CO2 flux of experimental pond ecosystems","Biology Letters","2015-12-03"
"Warming, eutrophication, and predator loss amplify subsidies between aquatic and terrestrial ecosystems","Q13442814","Q56794616","10.1111/j.1365-2486.2011.02540.x","Warming, eutrophication, and predator loss amplify subsidies between aquatic and terrestrial ecosystems","Global Change Biology","2011-09-05"
"Watershed effects on chemical properties of sediment and primary consumption in estuarine tidal flats: importance of watershed size and food selectivity by macrobenthos","Q13442814","Q56794616","10.1007/s10021-010-9321-x","Watershed effects on chemical properties of sediment and primary consumption in estuarine tidal flats: importance of watershed size and food selectivity by macrobenthos","Ecosystems","2010-03-01"
"Watershed processes, human impacts, and process‐based restoration","Q13442814","Q56794616","10.1002/9781118406618.ch2","Watershed processes, human impacts, and process‐based restoration","Stream and Watershed Restoration","2012-09-30"
