"Len","P31","P50","P356","P1476","P1433","P577"
"Pilot-scale treatment of 1, 4-dioxane contaminated waters using 185 nm radiation: experimental and CFD modeling","Q13442814","Madjid Mohseni","10.1016/j.jwpe.2017.06.015","Pilot-scale treatment of 1, 4-dioxane contaminated waters using 185 nm radiation: experimental and CFD modeling","Journal of Water Process Engineering","2017-08-10"
"Predictive radiation field modeling for fluidized bed photocatalytic reactors","Q13442814","Madjid Mohseni","10.1016/j.ces.2008.05.022","Predictive radiation field modeling for fluidized bed photocatalytic reactors","Chemical Engineering Science","2008-05-29"
"Pretreatment of natural organic matter to control biological stability","Q13442814","Madjid Mohseni","10.1039/c5ew00235d","Pretreatment of natural organic matter to control biological stability","Environmental Science: Water Research & Technology","2015-12-17"
"Production and Transformation of Mixed-Valent Nanoparticles Generated by Fe(0) Electrocoagulation","Q13442814","Madjid Mohseni","10.1021/es505059d","Production and Transformation of Mixed-Valent Nanoparticles Generated by Fe(0) Electrocoagulation","Environmental Science & Technology","2015-01-21"
"Protocol for Determining Ultraviolet Light Emitting Diode (UV-LED) Fluence for Microbial Inactivation Studies","Q13442814","Madjid Mohseni","10.1021/acs.est.7b05797","Protocol for Determining Ultraviolet Light Emitting Diode (UV-LED) Fluence for Microbial Inactivation Studies","Environmental Science & Technology","2018-06-01"
"Protocol for determining ultraviolet light emitting diode (UV-LED) fluence for microbial inactivation studies","Q13442814","Madjid Mohseni","10.1021/acs.est.7b05797.s001","Protocol for determining ultraviolet light emitting diode (UV-LED) fluence for microbial inactivation studies","American Chemical Society (ACS)","2020-04-08"
"Radiation field modeling of multi-lamp, homogeneous photoreactors","Q13442814","Madjid Mohseni","10.1016/j.jphotochem.2008.03.006","Radiation field modeling of multi-lamp, homogeneous photoreactors","Journal of Photochemistry and Photobiology A: Chemistry","2008-03-19"
"Removal of Microcystin-LR from spiked natural and synthetic waters by anion exchange","Q13442814","Madjid Mohseni","10.1016/j.scitotenv.2018.11.117","Removal of Microcystin-LR from spiked natural and synthetic waters by anion exchange","Science of The Total Environment","2018-11-19"
"Removal of legacy PFAS and other fluorotelomers: optimized regeneration strategies in DOM-rich waters","Q13442814","Madjid Mohseni","10.1016/j.watres.2020.116098","Removal of legacy PFAS and other fluorotelomers: optimized regeneration strategies in DOM-rich waters","Water Research","2020-06-26"
"SIMULATION OF IMMOBILIZED PHOTOCATALYTIC REACTORS USING CFD","Q13442814","Madjid Mohseni","10.1021/ie101736d","SIMULATION OF IMMOBILIZED PHOTOCATALYTIC REACTORS USING CFD","Industrial & Engineering Chemistry Research","2010-12-15"
"Simultaneous uptake of NOM and Microcystin-LR by anion exchange resins: effect of inorganic ions and resin regeneration","Q13442814","Madjid Mohseni","10.1016/j.chemosphere.2017.10.135","Simultaneous uptake of NOM and Microcystin-LR by anion exchange resins: effect of inorganic ions and resin regeneration","Chemosphere","2017-10-27"
"Standardizing electrocoagulation reactor design: iron electrodes for NOM removal","Q13442814","Madjid Mohseni","10.1016/j.chemosphere.2012.11.075","Standardizing electrocoagulation reactor design: iron electrodes for NOM removal","Chemosphere","2013-01-03"
"Synthesis of photocatalytic nanosized TiO2–Ag particles with sol–gel method using reduction agent","Q13442814","Madjid Mohseni","10.1016/j.molcata.2005.07.038","Synthesis of photocatalytic nanosized TiO2–Ag particles with sol–gel method using reduction agent","Journal of Molecular Catalysis A: Chemical","2005-09-07"
"Synthesis, Characterization, and Comparison of Sol–Gel TiO2 Immobilized Photocatalysts","Q13442814","Madjid Mohseni","10.1515/ijcre-2012-0054","Synthesis, Characterization, and Comparison of Sol–Gel TiO2 Immobilized Photocatalysts","International Journal of Chemical Reactor Engineering","2013-08-14"
"Systematic study of separators in air-breathing flat-plate microbial fuel cells—part 2: numerical modeling","Q13442814","Madjid Mohseni","10.3390/en9020079","Systematic study of separators in air-breathing flat-plate microbial fuel cells—part 2: numerical modeling","Energies","2016-01-28"
"Temperature dependence of 185 nm photochemical water treatment–The photolysis of water","Q13442814","Madjid Mohseni","10.1016/j.jphotochem.2017.12.030","Temperature dependence of 185 nm photochemical water treatment–The photolysis of water","Journal of Photochemistry and Photobiology A: Chemistry","2017-12-21"
"Temperature dependence of the absorbance of 185 nm photons by water and commonly occurring solutes and its influence on the VUV advanced oxidation process","Q13442814","Madjid Mohseni","10.1039/c8ew00302e","Temperature dependence of the absorbance of 185 nm photons by water and commonly occurring solutes and its influence on the VUV advanced oxidation process","Environmental Science: Water Research & Technology","2018-06-15"
"The Impact of UV/H2O2 Advanced Oxidation on Molecular Size Distribution of Chromophoric Natural Organic Matter","Q13442814","Madjid Mohseni","10.1021/es071602m","The Impact of UV/H2O2 Advanced Oxidation on Molecular Size Distribution of Chromophoric Natural Organic Matter","Environmental Science & Technology","2007-11-13"
"The Influence of Cell Concentration and Morphology on the Yielding Behavior of Filamentous Fermentation Broths","Q13442814","Madjid Mohseni","10.1007/978-94-017-0641-4_24","The Influence of Cell Concentration and Morphology on the Yielding Behavior of Filamentous Fermentation Broths","Advances in Bioprocess Engineering","2013-06-20"
"The effect of particle morphology and concentration on the directly measured yield stress in filamentous suspensions","Q13442814","Madjid Mohseni","10.1002/bit.260480312","The effect of particle morphology and concentration on the directly measured yield stress in filamentous suspensions","Biotechnology and Bioengineering","2004-12-30"
"The fate of natural organic matter during UV/H2O2 advanced oxidation of drinking water","Q13442814","Madjid Mohseni","10.1680/jees.2013.0004","The fate of natural organic matter during UV/H2O2 advanced oxidation of drinking water","Journal of Environmental Engineering and Science","2013-11-07"
"The fate of natural organic matter during UV/H2O2 advanced oxidation of drinking waterA paper submitted to the Journal of Environmental Engineering and Science.","Q13442814","Madjid Mohseni","10.1139/s08-045","The fate of natural organic matter during UV/H2O2 advanced oxidation of drinking waterA paper submitted to the Journal of Environmental Engineering and Science.","Canadian Journal of Civil Engineering","2009-01-26"
"The impact of chloride and chlorine radical on nitrite formation during vacuum UV photolysis of water","Q13442814","Madjid Mohseni","10.1016/j.scitotenv.2020.143325","The impact of chloride and chlorine radical on nitrite formation during vacuum UV photolysis of water","Science of The Total Environment","2020-11-05"
"The role of hydrophobic properties in ion exchange removal of organic compounds from water","Q13442814","Madjid Mohseni","10.1002/cjce.22823","The role of hydrophobic properties in ion exchange removal of organic compounds from water","The Canadian Journal of Chemical Engineering","2017-03-03"
"The treatment of waste air containing phenol vapors in biotrickling filter","Q13442814","Madjid Mohseni","10.1016/j.chemosphere.2008.05.040","The treatment of waste air containing phenol vapors in biotrickling filter","Chemosphere","2008-07-15"
"The viscoelastic nature of filamentous fermentation broths and its influence on the directly measured yield stress","Q13442814","Madjid Mohseni","10.1016/s0922-338x(97)80993-2","The viscoelastic nature of filamentous fermentation broths and its influence on the directly measured yield stress","Journal of Fermentation and Bioengineering","2002-07-26"
"Transient performance of biofilters treating mixtures of hydrophilic and hydrophobic volatile organic compounds","Q13442814","Madjid Mohseni","10.1080/10473289.1999.10463980","Transient performance of biofilters treating mixtures of hydrophilic and hydrophobic volatile organic compounds","Journal of the Air & Waste Management Association","2012-04-19"
"UV Treatment: A Solution for Small Community Water Supplies","Q13442814","Madjid Mohseni","10.1201/9781498710701-9","UV Treatment: A Solution for Small Community Water Supplies","Radon, Radium, and Uranium in Drinking Water","2020-07-09"
"UV-H2O2 based AOP and its integration with biological activated carbon treatment for DBP reduction in drinking water","Q13442814","Madjid Mohseni","10.1016/j.chemosphere.2006.09.043","UV-H2O2 based AOP and its integration with biological activated carbon treatment for DBP reduction in drinking water","Chemosphere","2006-11-14"
"UV-LED fluence determination by numerical method for microbial inactivation studies","Q13442814","Madjid Mohseni","10.1016/j.jphotochem.2020.112406","UV-LED fluence determination by numerical method for microbial inactivation studies","Journal of Photochemistry and Photobiology A: Chemistry","2020-01-23"
"UV-LED radiation modeling and its applications in UV dose determination for water treatment","Q13442814","Madjid Mohseni","10.1016/j.jphotochem.2017.10.047","UV-LED radiation modeling and its applications in UV dose determination for water treatment","Journal of Photochemistry and Photobiology A: Chemistry","2017-10-28"
"Ultraviolet photooxidation for the biodegradability enhancement of airborne o-xylene","Q13442814","Madjid Mohseni","10.1139/s04-060","Ultraviolet photooxidation for the biodegradability enhancement of airborne o-xylene","Journal of Environmental Engineering and Science","2005-07-22"
"Using UV pretreatment to enhance biofiltration of mixtures of aromatic VOCs","Q13442814","Madjid Mohseni","10.1016/j.jhazmat.2006.09.086","Using UV pretreatment to enhance biofiltration of mixtures of aromatic VOCs","Journal of Hazardous Materials","2006-10-05"
"Using ozone to reduce recalcitrant compounds and to enhance biodegradability of pulp and paper effluents","Q13442814","Madjid Mohseni","10.2166/wst.2004.0190","Using ozone to reduce recalcitrant compounds and to enhance biodegradability of pulp and paper effluents","Water Science and Technology","2018-05-18"
"Utilizing ultraviolet photooxidation as a pre‐treatment of volatile organic compounds upstream of a biological gas cleaning operation","Q13442814","Madjid Mohseni","10.1002/jctb.1030","Utilizing ultraviolet photooxidation as a pre‐treatment of volatile organic compounds upstream of a biological gas cleaning operation","Journal of Chemical Technology & Biotechnology","2004-04-16"
"Water Velocity Distribution and Its Impact on the Performance of an Electrocoagulation Reactor for Drinking Water Treatment","Q13442814","Madjid Mohseni","10.1149/ma2018-02/58/2082","Water Velocity Distribution and Its Impact on the Performance of an Electrocoagulation Reactor for Drinking Water Treatment","ECS Meeting Abstracts","2020-02-27"
