"Len","P31","P50","P356","P1476"
"The effects of discharge and slope on hyporheic flow in step‐pool morphologies","Q13442814","Marwan Hassan","10.1002/hyp.10155","The effects of discharge and slope on hyporheic flow in step‐pool morphologies"
"The impact of urbanization on temporal changes in sediment transport in a gravel bed channel in Southern Ontario, Canada","Q13442814","Marwan Hassan","10.1002/2016wr020288","The impact of urbanization on temporal changes in sediment transport in a gravel bed channel in Southern Ontario, Canada"
"The influence of channel morphology on bedload path lengths: Insights from a survival process model","Q13442814","Marwan Hassan","10.1002/esp.4946","The influence of channel morphology on bedload path lengths: Insights from a survival process model"
"The influence of microform bed roughness elements on flow and sediment transport in gravel bed rivers","Q13442814","Marwan Hassan","10.1002/esp.3290150807","The influence of microform bed roughness elements on flow and sediment transport in gravel bed rivers"
"The influence of microform bed roughness elements on flow and sediment transport in gravel bed rivers: a reply","Q13442814","Marwan Hassan","10.1002/esp.3290170512","The influence of microform bed roughness elements on flow and sediment transport in gravel bed rivers: a reply"
"The origin of fine sediment determines the observations of suspended sediment fluxes under unsteady flow conditions","Q13442814","Marwan Hassan","10.1029/2018wr022982","The origin of fine sediment determines the observations of suspended sediment fluxes under unsteady flow conditions"
"The relative stability of salmon redds and unspawned streambeds","Q13442814","Marwan Hassan","10.1002/2015wr016908","The relative stability of salmon redds and unspawned streambeds"
"The role of channel morphology on the mobility and dispersion of bed sediment in a small gravel‐bed stream","Q13442814","Marwan Hassan","10.1002/esp.3980","The role of channel morphology on the mobility and dispersion of bed sediment in a small gravel‐bed stream"
"The transport of gravel in an ephemeral sandbed river","Q13442814","Marwan Hassan","10.1002/(sici)1096-9837(199907)24:7<623::aid-esp978>3.0.co;2-2","The transport of gravel in an ephemeral sandbed river"
"Three-dimensional resolution of bedload transport with binocular computer vision","Q13442814","Marwan Hassan","10.21203/rs.3.rs-19923/v1","Three-dimensional resolution of bedload transport with binocular computer vision"
"Toward a practical method for estimating sediment‐transport rates in gravel‐bed rivers","Q13442814","Marwan Hassan","10.1002/esp.301","Toward a practical method for estimating sediment‐transport rates in gravel‐bed rivers"
"Tracers for sediment movement","Q13442814","Marwan Hassan","10.1007/springerreference_76609","Tracers for sediment movement"
"Transport and dispersion of coarse bed material, Nahal Hebron","Q13442814","Marwan Hassan","10.3133/ofr63118","Transport and dispersion of coarse bed material, Nahal Hebron"
"Turbulent flow over an evolving gravel bed","Q13442814","Marwan Hassan","10.2208/prohe1975.33.481","Turbulent flow over an evolving gravel bed"
"Upland gravel-bed rivers with low sediment transport","Q13442814","Marwan Hassan","10.1016/s0928-2025(05)80015-x","Upland gravel-bed rivers with low sediment transport"
"Use of tracers in fluvial geomorphology","Q13442814","Marwan Hassan","10.1002/0470868333.ch14","Use of tracers in fluvial geomorphology"
"Using LiDAR to characterize logjams in lowland rivers","Q13442814","Marwan Hassan","10.1016/j.geomorph.2015.06.036","Using LiDAR to characterize logjams in lowland rivers"
"Variable hillslope‐channel coupling and channel characteristics of forested mountain streams in glaciated landscapes","Q13442814","Marwan Hassan","10.1002/esp.4527","Variable hillslope‐channel coupling and channel characteristics of forested mountain streams in glaciated landscapes"
"Vertical exchange of coarse bedload in desert streams","Q13442814","Marwan Hassan","10.1144/gsl.sp.1987.035.01.02","Vertical exchange of coarse bedload in desert streams"
"Vertical mixing of coarse particles in gravel bed rivers:  a kinematic model","Q13442814","Marwan Hassan","10.1029/93wr03351","Vertical mixing of coarse particles in gravel bed rivers:  a kinematic model"
"Video‐based gravel transport measurements with a flume mounted light table","Q13442814","Marwan Hassan","10.1002/esp.1675","Video‐based gravel transport measurements with a flume mounted light table"
"Virtual rate and mean distance of travel of individual clasts in gravel‐bed channels","Q13442814","Marwan Hassan","10.1002/esp.3290170607","Virtual rate and mean distance of travel of individual clasts in gravel‐bed channels"
"What are the contemporary sources of sediment in the Mississippi River?","Q13442814","Marwan Hassan","10.1002/2017gl074046","What are the contemporary sources of sediment in the Mississippi River?"
"What controls the disequilibrium state of gravel‐bed rivers?","Q13442814","Marwan Hassan","10.1002/esp.4695","What controls the disequilibrium state of gravel‐bed rivers?"
"What is Hidden in Hiding Functions? The Influence of Packing on Size-Selective Transport","Q13442814","Marwan Hassan","10.1130/abs/2016am-285670","What is Hidden in Hiding Functions? The Influence of Packing on Size-Selective Transport"
"Width variations control the development of grain structuring in steep step‐pool dominated streams: insight from flume experiments","Q13442814","Marwan Hassan","10.1002/esp.4815","Width variations control the development of grain structuring in steep step‐pool dominated streams: insight from flume experiments"
"Wood Load, Jam Formation and Sediment Storage in a Gravel-Bed Stream","Q13442814","Marwan Hassan","10.1029/2012jf002385","Wood Load, Jam Formation and Sediment Storage in a Gravel-Bed Stream"
"Wood dynamics in upland streams under different disturbance regimes","Q13442814","Marwan Hassan","10.1002/esp.3356","Wood dynamics in upland streams under different disturbance regimes"
"drainage basin dynamics","Q13442814","Marwan Hassan","10.1007/springerreference_43118","drainage basin dynamics"
