"qid","Len","P31","P50","P356","P921","P1476"
"","Energy Efficiency and Global Warming Potential in the Residential Sector: Comparative Evaluation of Canada and Saudi Arabia","Q13442814","Rehan Sadiq","10.1061/(asce)ae.1943-5568.0000253","","Energy Efficiency and Global Warming Potential in the Residential Sector: Comparative Evaluation of Canada and Saudi Arabia"
"","Multilevel performance management framework for small to medium sized water utilities in Canada","Q13442814","Rehan Sadiq","10.1139/cjce-2015-0227","","Multilevel performance management framework for small to medium sized water utilities in Canada"
"","Predicting the potential of contaminant intrusion in water distribution systems","Q13442814","Rehan Sadiq","10.5942/jawwa.2014.106.0019","","Predicting the potential of contaminant intrusion in water distribution systems"
"","Probability of network disconnection of water distribution system for maintenance prioritization","Q13442814","Rehan Sadiq","10.2166/aqua.2018.097","","Probability of network disconnection of water distribution system for maintenance prioritization"
"","Economic and Energy Efficiency of Net-Zero Water Communities: System Dynamics Analysis","Q13442814","Rehan Sadiq","10.1061/jswbay.0000854","","Economic and Energy Efficiency of Net-Zero Water Communities: System Dynamics Analysis"
"","Framework for cost-effective prediction of unregulated disinfection by-products in drinking water distribution using differential free chlorine","Q13442814","Rehan Sadiq","10.1039/c8ew00394g","","Framework for cost-effective prediction of unregulated disinfection by-products in drinking water distribution using differential free chlorine"
"","Simulation of Constant Pressure and Flow Rate Through Mini-Channels Inserted Into Distribution Systems (WDS)","Q13442814","Rehan Sadiq","10.1115/icnmm2012-73216","","Simulation of Constant Pressure and Flow Rate Through Mini-Channels Inserted Into Distribution Systems (WDS)"
"","Offshore Drilling Waste Discharge: Egyptian Environmental Regulations","Q13442814","Rehan Sadiq","10.2118/161446-ms","","Offshore Drilling Waste Discharge: Egyptian Environmental Regulations"
"","Integrated planning framework for urban stormwater management: one water approach","Q13442814","Rehan Sadiq","10.1080/23789689.2020.1871542","","Integrated planning framework for urban stormwater management: one water approach"
"","Performance Assessment Framework for Small Water Systems: Case Study in British Columbia","Q13442814","Rehan Sadiq","10.1061/(asce)wr.1943-5452.0001297","","Performance Assessment Framework for Small Water Systems: Case Study in British Columbia"
"","Numerical Study on Stress Concentration Factors at Splice Welds of Structural Steel Pipes","Q13442814","Rehan Sadiq","10.4043/25072-ms","","Numerical Study on Stress Concentration Factors at Splice Welds of Structural Steel Pipes"
"","Urban Transformation Toward a Smart City: An E-Commerce–Induced Path-Dependent Analysis","Q13442814","Rehan Sadiq","10.1061/(asce)up.1943-5444.0000648","","Urban Transformation Toward a Smart City: An E-Commerce–Induced Path-Dependent Analysis"
"","GIS-based vulnerability analysis of the United States to COVID-19 occurrence","Q13442814","Rehan Sadiq","10.1080/13669877.2021.1881991","","GIS-based vulnerability analysis of the United States to COVID-19 occurrence"
"","Smart city and resilient city: Differences and connections","Q13442814","Rehan Sadiq","10.1002/widm.1388","","Smart city and resilient city: Differences and connections"
"","Water mains’ prioritisation for small to medium-sized utilities of Canada","Q13442814","Rehan Sadiq","10.1680/jinam.17.00037","","Water mains’ prioritisation for small to medium-sized utilities of Canada"
"","Investigating the impacts of plausible Canadian policies and their supporting mechanisms on export-based regional air pollution in China: A cement manufacturing case study","Q13442814","Rehan Sadiq","10.1139/facets-2017-0109","","Investigating the impacts of plausible Canadian policies and their supporting mechanisms on export-based regional air pollution in China: A cement manufacturing case study"
"","A New Method for Solving Single- and Multi-Objective Capacitated Solid Minimum Cost Flow Problems under Uncertainty","Q13442814","Rehan Sadiq","10.1515/jisys-2015-0108","","A New Method for Solving Single- and Multi-Objective Capacitated Solid Minimum Cost Flow Problems under Uncertainty"
"","Unfolding ‘big’ problems of small water system performance: a qualitative study in British Columbia","Q13442814","Rehan Sadiq","10.1080/07011784.2020.1800517","","Unfolding ‘big’ problems of small water system performance: a qualitative study in British Columbia"
"","Sustainable, Resilient, and Reliable Urban Water Systems: Making a Case for 'One Water Approach'","Q13442814","Rehan Sadiq","10.1139/er-2020-0090","","Sustainable, Resilient, and Reliable Urban Water Systems: Making a Case for 'One Water Approach'"
"","Performance indicators for small- and medium-sized water supply systems: a review","Q13442814","Rehan Sadiq","10.1139/er-2013-0013","","Performance indicators for small- and medium-sized water supply systems: a review"
"","Reconciling ‘actual’ risk with ‘perceived’ risk for distributed water quality: a QFD-based approach","Q13442814","Rehan Sadiq","10.2166/aqua.2011.108","","Reconciling ‘actual’ risk with ‘perceived’ risk for distributed water quality: a QFD-based approach"
"","Water quality – water main renewal planner (Q-WARP): development and application","Q13442814","Rehan Sadiq","10.2166/aqua.2014.079","","Water quality – water main renewal planner (Q-WARP): development and application"
"","Generating Z-number based on OWA weights using maximum entropy","Q13442814","Rehan Sadiq","10.1002/int.21995","","Generating Z-number based on OWA weights using maximum entropy"
"","A review of drought indices","Q13442814","Rehan Sadiq","10.1139/a11-013","","A review of drought indices"
"","Application of decision support systems in water management","Q13442814","Rehan Sadiq","10.1139/er-2013-0034","","Application of decision support systems in water management"
"","New insights from the biogas microbiome by comprehensive genome-resolved metagenomics of nearly 1600 species originating from multiple anaerobic digesters","Q13442814","Q88314953","10.21203/rs.2.18473/v2","","New insights from the biogas microbiome by comprehensive genome-resolved metagenomics of nearly 1600 species originating from multiple anaerobic digesters"
"","Anaerobic codigester feeding strategy selects for microbial communities with higher FOG degradation kinetics","Q13442814","Q88314953","10.2175/193864717822152248","","Anaerobic codigester feeding strategy selects for microbial communities with higher FOG degradation kinetics"
"","New insights from the biogas microbiome by comprehensive genome-resolved metagenomics of nearly 1600 species originating from multiple anaerobic digesters","Q13442814","Q88314953","10.21203/rs.2.18473/v1","","New insights from the biogas microbiome by comprehensive genome-resolved metagenomics of nearly 1600 species originating from multiple anaerobic digesters"
"","Reservoir Operation Optimized for Hydropower Production Reduces Conflict with Traditional Water Uses in the Senegal River","Q13442814","Steven Weijs","10.1061/(asce)wr.1943-5452.0001076","","Reservoir Operation Optimized for Hydropower Production Reduces Conflict with Traditional Water Uses in the Senegal River"
"","Ice Volume and Subglacial Topography for Western Canadian Glaciers from Mass Balance Fields, Thinning Rates, and a Bed Stress Model","Q13442814","Valentina Radić","10.1175/jcli-d-12-00513.1","","Ice Volume and Subglacial Topography for Western Canadian Glaciers from Mass Balance Fields, Thinning Rates, and a Bed Stress Model"
"","Evaluation of IPCC Models’ Performance in Simulating Late-Twentieth-Century Climatologies and Weather Patterns over North America","Q13442814","Valentina Radić","10.1175/jcli-d-11-00011.1","","Evaluation of IPCC Models’ Performance in Simulating Late-Twentieth-Century Climatologies and Weather Patterns over North America"
"","Future changes in autumn atmospheric river events in British Columbia, Canada, as projected by CMIP5 global climate models","Q13442814","Valentina Radić","10.1002/2015jd023279","","Future changes in autumn atmospheric river events in British Columbia, Canada, as projected by CMIP5 global climate models"
"","Impact of global warming on the rise of volcanic plumes and implications for future volcanic aerosol forcing","Q13442814","Valentina Radić","10.1002/2016jd025405","","Impact of global warming on the rise of volcanic plumes and implications for future volcanic aerosol forcing"
"","Pool‐riffle sedimentation and surface texture trends in a gravel bed stream","Q13442814","Valentina Radić","10.1002/2015wr017840","","Pool‐riffle sedimentation and surface texture trends in a gravel bed stream"
"","Global response of glacier runoff to twenty-first century climate change","Q13442814","Valentina Radić","10.1002/2013jf002931","","Global response of glacier runoff to twenty-first century climate change"
"","Pool‐Riffle Adjustment Due to Changes in Flow and Sediment Supply","Q13442814","Valentina Radić","10.1029/2020wr028048","","Pool‐Riffle Adjustment Due to Changes in Flow and Sediment Supply"
"","Glacier Retreat and Pacific Salmon","Q13442814","Valentina Radić","10.1093/biosci/biaa015","","Glacier Retreat and Pacific Salmon"
"","Partitioning the Uncertainty of Ensemble Projections of Global Glacier Mass Change","Q13442814","Valentina Radić","10.1029/2019ef001470","","Partitioning the Uncertainty of Ensemble Projections of Global Glacier Mass Change"
