"Len","P31","P50","P356","P1476","P1433","P577"
"Citizen science for water quality monitoring: Data implications of citizen perspectives","Q13442814","Mark Johnson","10.1016/j.jenvman.2017.05.083","Citizen science for water quality monitoring: Data implications of citizen perspectives","Journal of Environmental Management","2017-07-01"
"Citizenshit: The Right to Flush and the Urban Sanitation Imaginary","Q13442814","Gunilla Öberg","10.1068/a130331p","Citizenshit: The Right to Flush and the Urban Sanitation Imaginary","Environment and Planning A: Economy and Space","2014-12-09"
"Citizenshit: the right to flush and the urban sanitation imaginary","Q13442814","Leila M. Harris","10.1068/a130331p","Citizenshit: the right to flush and the urban sanitation imaginary","Environment and Planning A: Economy and Space","2014-12-09"
"Classification of heterotrophic plate counts (HPC) in a water distribution network: a fuzzy rule-based approach","Q13442814","Rehan Sadiq","10.1007/s13198-012-0082-0","Classification of heterotrophic plate counts (HPC) in a water distribution network: a fuzzy rule-based approach","International Journal of System Assurance Engineering and Management","2012-02-07"
"Climate change and drinking water quality: Predicting high trihalomethane occurrence in water utilities supplied by surface water","Q13442814","Rehan Sadiq","10.1016/j.envsoft.2019.07.004","Climate change and drinking water quality: Predicting high trihalomethane occurrence in water utilities supplied by surface water","Environmental Modelling & Software","2019-07-16"
"Climate conscious regional planning for fast-growing communities","Q13442814","Rehan Sadiq","10.1016/j.jclepro.2017.07.092","Climate conscious regional planning for fast-growing communities","Journal of Cleaner Production","2017-07-14"
"Clostridium difficile infection incidence prediction in hospitals (CDIIPH): a predictive model based on decision tree and fuzzy techniques","Q13442814","Rehan Sadiq","10.1007/s00477-016-1227-5","Clostridium difficile infection incidence prediction in hospitals (CDIIPH): a predictive model based on decision tree and fuzzy techniques","Stochastic Environmental Research and Risk Assessment","2016-02-11"
"Coagulation optimization for DOC removal: pilot-scale analysis of UF fouling and disinfection byproduct formation potential","Q13442814","Pierre Bérubé","10.2166/ws.2015.157","Coagulation optimization for DOC removal: pilot-scale analysis of UF fouling and disinfection byproduct formation potential","Water Supply","2016-04-09"
"Coagulation/flocculation prior to low pressure membranes in drinking water treatment: a review","Q13442814","Pierre Bérubé","10.1039/d0ew00461h","Coagulation/flocculation prior to low pressure membranes in drinking water treatment: a review","Environmental Science: Water Research & Technology","2020-09-08"
"Coarse particulate detritus dynamics in small, montane streams Southwestern British Columbia","Q13442814","Q56794616","10.1139/f92-038","Coarse particulate detritus dynamics in small, montane streams Southwestern British Columbia","Canadian Journal of Fisheries and Aquatic Sciences","2008-06-16"
"Coarse particulate organic matter dynamics in small streams: towards linking function to physical structure","Q13442814","Q56794616","10.1111/j.1365-2427.2009.02279.x","Coarse particulate organic matter dynamics in small streams: towards linking function to physical structure","Freshwater Biology","2009-07-31"
"Collisional Langevin approach to bed load sediment velocity distributions","Q13442814","Marwan Hassan","10.5194/egusphere-egu21-8148","Collisional Langevin approach to bed load sediment velocity distributions","Copernicus GmbH","2021-03-04"
"Colluvial sediment dynamics in mountain drainage basins","Q13442814","Marwan Hassan","10.1016/j.epsl.2009.05.002","Colluvial sediment dynamics in mountain drainage basins","Earth and Planetary Science Letters","2009-05-30"
"Commentary on the Absence of Experiments in Planning","Q13442814","Jordi Honey-Rosés","10.1177/0739456x17739352","Commentary on the Absence of Experiments in Planning","Journal of Planning Education and Research","2017-11-08"
"Committee report: recent advances and research needs in membrane fouling","Q13442814","Pierre Bérubé","10.1002/j.1551-8833.2005.tb07452.x","Committee report: recent advances and research needs in membrane fouling","Journal - American Water Works Association","2018-02-23"
"Communicating human health risks associated with disinfection by-products in drinking water supplies: a fuzzy-based approach","Q13442814","Rehan Sadiq","10.1007/s00477-006-0069-y","Communicating human health risks associated with disinfection by-products in drinking water supplies: a fuzzy-based approach","Stochastic Environmental Research and Risk Assessment","2006-08-08"
"Communicative aspects of environmental management by objectives: examples from the Swedish context","Q13442814","Gunilla Öberg","10.1007/s00267-004-0386-1","Communicative aspects of environmental management by objectives: examples from the Swedish context","Environmental Management","2006-02-16"
"Communities of aquatic insects of old-growth and clearcut coastal headwater streams of varying flow persistence","Q13442814","Q56794616","10.1139/x03-089","Communities of aquatic insects of old-growth and clearcut coastal headwater streams of varying flow persistence","Canadian Journal of Forest Research","2003-08-08"
"Community responses to experimental food depletion: resource tracking by stream invertebrates","Q13442814","Q56794616","10.1007/s004420100748","Community responses to experimental food depletion: resource tracking by stream invertebrates","Oecologia","2014-12-22"
"Community-level decentralized energy system planning under uncertainty: A comparison of mathematical models for strategy development","Q13442814","Rehan Sadiq","10.1016/j.apenergy.2020.116304","Community-level decentralized energy system planning under uncertainty: A comparison of mathematical models for strategy development","Applied Energy","2020-12-13"
"Comparative Study of the Effect of Vacuum-Ultraviolet Irradiation on Natural Organic Matter of Different Sources","Q13442814","Madjid Mohseni","10.1061/(asce)ee.1943-7870.0000804","Comparative Study of the Effect of Vacuum-Ultraviolet Irradiation on Natural Organic Matter of Different Sources","Journal of Environmental Engineering","2013-12-27"
"Comparative life-cycle assessment of traditional and emerging oily sludge treatment approaches","Q13442814","Rehan Sadiq","10.1016/j.jclepro.2019.119594","Comparative life-cycle assessment of traditional and emerging oily sludge treatment approaches","Journal of Cleaner Production","2019-12-14"
"Comparative study of fuzzy evidential reasoning and fuzzy rule-based approaches: an illustration for water quality assessment in distribution networks","Q13442814","Rehan Sadiq","10.1007/s00477-013-0780-4","Comparative study of fuzzy evidential reasoning and fuzzy rule-based approaches: an illustration for water quality assessment in distribution networks","Stochastic Environmental Research and Risk Assessment","2013-08-13"
"Comparison of Dimensionality Reduction Techniques for Cross-Source Transfer of Fluorescence Contaminant Detection Models","Q13442814","Nicolas Peleato","10.1016/j.chemosphere.2021.130064","Comparison of Dimensionality Reduction Techniques for Cross-Source Transfer of Fluorescence Contaminant Detection Models","Chemosphere","2021-02-22"
"Comparison of organic fouling resistance of thin-film composite membranes modified by hydrophilic silica nanoparticles and zwitterionic polymer brushes","Q13442814","Jongho Lee","10.1016/j.memsci.2017.09.017","Comparison of organic fouling resistance of thin-film composite membranes modified by hydrophilic silica nanoparticles and zwitterionic polymer brushes","Journal of Membrane Science","2017-09-07"
"Comparison of statistical models for predicting pipe failures: Illustrative example with the City of Calgary water main failure","Q13442814","Rehan Sadiq","10.1061/(asce)ps.1949-1204.0000196","Comparison of statistical models for predicting pipe failures: Illustrative example with the City of Calgary water main failure","Journal of Pipeline Systems Engineering and Practice","2015-01-27"
"Comparison of three-dimensional fluorescence analysis methods for predicting formation of trihalomethanes and haloacetic acids","Q13442814","Nicolas Peleato","10.1016/j.jes.2014.04.014","Comparison of three-dimensional fluorescence analysis methods for predicting formation of trihalomethanes and haloacetic acids","Journal of Environmental Sciences","2014-11-16"
"Comparisons of the colonisation by invertebrates of three species of wood, alder leaves, and plastic “leaves” in a temperate stream","Q13442814","Q56794616","10.1002/iroh.200610979","Comparisons of the colonisation by invertebrates of three species of wood, alder leaves, and plastic “leaves” in a temperate stream","International Review of Hydrobiology","2007-12-03"
"Competitive displacement alters top-down effects on carbon dioxide concentrations in a freshwater ecosystem","Q13442814","Q56794616","10.1007/s00442-013-2877-3","Competitive displacement alters top-down effects on carbon dioxide concentrations in a freshwater ecosystem","Oecologia","2014-01-07"
"Complementarity in mid-point impacts for water use in life cycle assessment applied to cropland and cattle production in Southern Amazonia","Q13442814","Mark Johnson","10.1016/j.jclepro.2019.02.021","Complementarity in mid-point impacts for water use in life cycle assessment applied to cropland and cattle production in Southern Amazonia","Journal of Cleaner Production","2019-02-10"
"Complex interactions of light, nutrients and consumer density in a stream periphyton–grazer (tailed frog tadpoles) system","Q13442814","Q56794616","10.1111/j.1365-2656.2005.01000.x","Complex interactions of light, nutrients and consumer density in a stream periphyton–grazer (tailed frog tadpoles) system","Journal of Animal Ecology","2005-11-02"
"Complex mass wasting response of drainage basins to forest management in coastal British Columbia","Q13442814","Marwan Hassan","10.1016/s0169-555x(02)00166-6","Complex mass wasting response of drainage basins to forest management in coastal British Columbia","Geomorphology","2002-11-04"
"Composite template-free TiO2 photocatalyst: synthesis, characteristics and photocatalytic activity","Q13442814","Madjid Mohseni","10.1016/j.apcatb.2011.02.021","Composite template-free TiO2 photocatalyst: synthesis, characteristics and photocatalytic activity","Applied Catalysis B: Environmental","2011-02-24"
"Composition and Chemistry-D11307-Influence of small-and large-scale variables on the chemical and isotopic compositions of urban rainwater, as illustrated by a case study in …","Q13442814","Marwan Hassan","10.1029/2004jd005414","Composition and Chemistry-D11307-Influence of small-and large-scale variables on the chemical and isotopic compositions of urban rainwater, as illustrated by a case study in …","Journal of Geophysical Research","2005-06-07"
"Comprehensive consideration of strategy updating promotes cooperation in the prisoner’s dilemma game","Q13442814","Rehan Sadiq","10.1016/j.physa.2014.02.051","Comprehensive consideration of strategy updating promotes cooperation in the prisoner’s dilemma game","Physica A: Statistical Mechanics and its Applications","2014-02-25"
"Computational fluid dynamics (CFD) modeling of VUV/UV photoreactors for water treatment","Q13442814","Madjid Mohseni","10.1016/j.cej.2014.06.068","Computational fluid dynamics (CFD) modeling of VUV/UV photoreactors for water treatment","Chemical Engineering Journal","2014-07-02"
"Computational fluid dynamics modeling of immobilized photocatalytic reactors for water treatment","Q13442814","Madjid Mohseni","10.1002/aic.12399","Computational fluid dynamics modeling of immobilized photocatalytic reactors for water treatment","AIChE Journal","2010-08-17"
"Computational modeling of UV photocatalytic reactors: model development, evaluation, and application","Q13442814","Madjid Mohseni","10.2166/wqrjc.2014.031","Computational modeling of UV photocatalytic reactors: model development, evaluation, and application","Water Quality Research Journal","2015-01-29"
"Conceptualising “coupling” for sustainability implementation in the industrial sector: a review of the field and projection of future research opportunities","Q13442814","Nadja Kunz","10.1016/j.jclepro.2013.03.040","Conceptualising “coupling” for sustainability implementation in the industrial sector: a review of the field and projection of future research opportunities","Journal of Cleaner Production","2013-04-17"
"Conceptualization of the acidification theory in Swedish environmental research","Q13442814","Gunilla Öberg","10.1139/a96-008","Conceptualization of the acidification theory in Swedish environmental research","Environmental Reviews","2009-11-16"
"Condition Assessment of Buried Pipes Using Hierarchical Evidential Reasoning Model","Q13442814","Rehan Sadiq","10.1061/(asce)0887-3801(2008)22:2(114)","Condition Assessment of Buried Pipes Using Hierarchical Evidential Reasoning Model","Journal of Computing in Civil Engineering","2008-02-19"
"Condition assessment for bridges: a hierarchical evidential reasoning (HER) framework","Q13442814","Rehan Sadiq","10.1080/15732479.2011.602979","Condition assessment for bridges: a hierarchical evidential reasoning (HER) framework","Structure and Infrastructure Engineering","2013-02-22"
"Condition assessment of water mains using fuzzy evidential reasoning","Q13442814","Rehan Sadiq","10.1109/icsmc.2005.1571684","Condition assessment of water mains using fuzzy evidential reasoning","2005 IEEE International Conference on Systems, Man and Cybernetics","2006-01-18"
"Conservation in heavily urbanized biodiverse regions requires urgent management action and attention to governance","Q13442814","Q56794616","10.1111/csp2.310","Conservation in heavily urbanized biodiverse regions requires urgent management action and attention to governance","Conservation Science and Practice","2020-11-26"
"Considering Soil Parameters in Prediction of Remaining Service Life of Metallic Pipes: Bayesian Belief Network Model","Q13442814","Rehan Sadiq","10.1061/(asce)ps.1949-1204.0000229","Considering Soil Parameters in Prediction of Remaining Service Life of Metallic Pipes: Bayesian Belief Network Model","Journal of Pipeline Systems Engineering and Practice","2015-12-31"
"Consumer responses to resource patch size and architecture: leaf packs in streams","Q13442814","Q56794616","10.1127/fal/2019/1187","Consumer responses to resource patch size and architecture: leaf packs in streams","Fundamental and Applied Limnology","2019-03-16"
"Contaminant intrusion in water distribution networks: review and proposal of an integrated model for decision making","Q13442814","Rehan Sadiq","10.1139/er-2014-0069","Contaminant intrusion in water distribution networks: review and proposal of an integrated model for decision making","Environmental Reviews","2015-03-18"
"Contested sustainabilities: Assessing narratives of environmental change in southeastern Turkey","Q13442814","Leila M. Harris","10.1080/13549830903096452","Contested sustainabilities: Assessing narratives of environmental change in southeastern Turkey","Local Environment","2009-08-22"
"Contested waters: Conflict, scale, and sustainability in aquatic socioecological systems","Q13442814","Leila M. Harris","10.1080/08941920290069272","Contested waters: Conflict, scale, and sustainability in aquatic socioecological systems","Society & Natural Resources","2002-09-30"
"Continuous organic characterization for biological and membrane filter performance monitoring","Q13442814","Nicolas Peleato","10.5942/jawwa.2017.109.0031","Continuous organic characterization for biological and membrane filter performance monitoring","Journal - American Water Works Association","2017-03-21"
"Contrasting CO2 concentration discharge dynamics in headwater streams: A multi‐catchment comparison","Q13442814","Mark Johnson","10.1002/jgrg.20047","Contrasting CO2 concentration discharge dynamics in headwater streams: A multi‐catchment comparison","Journal of Geophysical Research: Biogeosciences","2013-03-13"
"Contrasting effects of cross-ecosystem subsidies and predation on benthic invertebrates in two Pacific coastal streams","Q13442814","Q56794616","10.1007/s00027-010-0159-2","Contrasting effects of cross-ecosystem subsidies and predation on benthic invertebrates in two Pacific coastal streams","Aquatic Sciences","2010-08-07"
"Contribution of biofilm layer to virus removal in gravity-driven membrane systems with passive fouling control","Q13442814","Pierre Bérubé","10.1016/j.seppur.2020.117336","Contribution of biofilm layer to virus removal in gravity-driven membrane systems with passive fouling control","Separation and Purification Technology","2020-07-08"
"Contributions of spatial, temporal, and treatment impacts on natural organic matter character using fluorescence-based measures","Q13442814","Nicolas Peleato","10.2166/ws.2015.013","Contributions of spatial, temporal, and treatment impacts on natural organic matter character using fluorescence-based measures","Water Supply","2015-06-18"
"Controlled Architecture of Dual-Functional Block Copolymer Brushes on Thin-Film Composite Membranes for Integrated “Defending” and “Attacking” Strategies against Biofouling","Q13442814","Jongho Lee","10.1021/acsami.5b06647","Controlled Architecture of Dual-Functional Block Copolymer Brushes on Thin-Film Composite Membranes for Integrated “Defending” and “Attacking” Strategies against Biofouling","ACS Applied Materials & Interfaces","2015-09-17"
"Controls on subsurface transport of sorbing contaminant","Q13442814","Q57582079","10.2166/nh.2016.170","Controls on subsurface transport of sorbing contaminant","Hydrology Research","2016-09-18"
"Controls on the chemical and isotopic compositions of urban stormwater in a semiarid zone","Q13442814","Marwan Hassan","10.1016/j.jhydrol.2004.02.010","Controls on the chemical and isotopic compositions of urban stormwater in a semiarid zone","Journal of Hydrology","2004-04-26"
"Controls on the diurnal streamflow cycles in two subbasins of an alpine headwater catchment","Q13442814","Steven Weijs","10.1002/2014wr016581","Controls on the diurnal streamflow cycles in two subbasins of an alpine headwater catchment","Water Resources Research","2015-04-17"
"Conventional Sewer Systems Are Too Time-Consuming, Costly and Inflexible to Meet the Challenges of the 21st Century","Q13442814","Gunilla Öberg","10.3390/su12166518","Conventional Sewer Systems Are Too Time-Consuming, Costly and Inflexible to Meet the Challenges of the 21st Century","Sustainability","2020-08-12"
"Conventional versus modular construction methods: A comparative cradle-to-gate LCA for residential buildings","Q13442814","Rehan Sadiq","10.1016/j.enbuild.2019.109479","Conventional versus modular construction methods: A comparative cradle-to-gate LCA for residential buildings","Energy and Buildings","2019-09-30"
"Corrigendum: Analytical quantification of electrochemical ferrates for drinking water treatments","Q13442814","Madjid Mohseni","10.1139/cjc-2017-0583","Corrigendum: Analytical quantification of electrochemical ferrates for drinking water treatments","Canadian Journal of Chemistry","2017-09-23"
"Cost/comfort-oriented clustering-based extended time of use pricing","Q13442814","Rehan Sadiq","10.1016/j.scs.2020.102673","Cost/comfort-oriented clustering-based extended time of use pricing","Sustainable Cities and Society","2020-12-29"
"Could electrical conductivity replace water level in rating curves for alpine streams?","Q13442814","Steven Weijs","10.1029/2012wr012181","Could electrical conductivity replace water level in rating curves for alpine streams?","Water Resources Research","2012-12-03"
"Coupled electrocoagulation and oxidative media filtration for the removal of manganese and arsenic from a raw ground water supply","Q13442814","Madjid Mohseni","10.1016/j.jwpe.2021.101983","Coupled electrocoagulation and oxidative media filtration for the removal of manganese and arsenic from a raw ground water supply","Journal of Water Process Engineering","2021-02-24"
"Coupling Behavior-Based Intervention with Pro-Environmentalism. The Dynamics of Energy Usage, Crisis and Its Conservation","Q13442814","Rehan Sadiq","10.1007/978-3-030-43578-3_8","Coupling Behavior-Based Intervention with Pro-Environmentalism. The Dynamics of Energy Usage, Crisis and Its Conservation","Dynamics of Energy, Environment and Economy","2020-07-02"
"Coupling ultraviolet photolysis and biofiltration for enhanced degradation of aromatic air pollutants","Q13442814","Madjid Mohseni","10.1002/jctb.1371","Coupling ultraviolet photolysis and biofiltration for enhanced degradation of aromatic air pollutants","Journal of Chemical Technology & Biotechnology","2005-08-16"
"Co‐evolution of coarse grain structuring and bed roughness in response to episodic sediment supply in an experimental aggrading channel","Q13442814","Marwan Hassan","10.1002/esp.4788","Co‐evolution of coarse grain structuring and bed roughness in response to episodic sediment supply in an experimental aggrading channel","Earth Surface Processes and Landforms","2019-12-20"
"Critical video engagements: Empathy, subjectivity and changing narratives of water resources through participatory video","Q13442814","Leila M. Harris","10.1016/j.geoforum.2018.02.012","Critical video engagements: Empathy, subjectivity and changing narratives of water resources through participatory video","Geoforum","2018-02-17"
"Current and historical drivers of landscape genetic structure differ in core and peripheral salamander populations","Q13442814","Q56794616","10.1371/journal.pone.0036769","Current and historical drivers of landscape genetic structure differ in core and peripheral salamander populations","PLoS ONE","2012-05-10"
"Cutting edge: A comparison of contemporary practices of riparian buffer retention around small streams in Canada, Finland, and Sweden","Q13442814","Q56794616","10.1029/2019wr026381","Cutting edge: A comparison of contemporary practices of riparian buffer retention around small streams in Canada, Finland, and Sweden","Water Resources Research","2020-09-16"
"D-CFPR: D numbers extended consistent fuzzy preference relations","Q13442814","Rehan Sadiq","10.1016/j.knosys.2014.09.007","D-CFPR: D numbers extended consistent fuzzy preference relations","Knowledge-Based Systems","2014-09-22"
"DISCUSSION. AN INVESTIGATION INTO THE MANUFACTURE OF HIGH-STRENGTH CONCRETE IN A TROPICAL CLIMATE.","Q13442814","Madjid Mohseni","10.1680/iicep.1960.11906","DISCUSSION. AN INVESTIGATION INTO THE MANUFACTURE OF HIGH-STRENGTH CONCRETE IN A TROPICAL CLIMATE.","Proceedings of the Institution of Civil Engineers","2007-07-03"
"DNA-SIP based genome-centric metagenomics identifies key long-chain fatty acid-degrading populations in anaerobic digesters with different feeding frequencies","Q13442814","Q88314953","10.1038/ismej.2017.143","DNA-SIP based genome-centric metagenomics identifies key long-chain fatty acid-degrading populations in anaerobic digesters with different feeding frequencies","The ISME Journal","2017-09-12"
"DOC and DIC in flowpaths of Amazonian headwater catchments with hydrologically contrasting soils","Q13442814","Mark Johnson","10.1007/s10533-006-9029-3","DOC and DIC in flowpaths of Amazonian headwater catchments with hydrologically contrasting soils","Biogeochemistry","2006-07-06"
"Data compression to define information content of hydrological time series.","Q13442814","Steven Weijs","10.5194/hess-17-3171-2013","Data compression to define information content of hydrological time series.","Hydrology and Earth System Sciences","2013-08-06"
"Data fusion methods for human health risk assessment: review and application","Q13442814","Rehan Sadiq","10.1080/10807039.2012.746145","Data fusion methods for human health risk assessment: review and application","Human and Ecological Risk Assessment: An International Journal","2012-11-12"
"Data fusion-based risk assessment framework: an example of benzene","Q13442814","Rehan Sadiq","10.1007/s13198-012-0136-3","Data fusion-based risk assessment framework: an example of benzene","International Journal of System Assurance Engineering and Management","2012-11-04"
"Debates: Does Information Theory Provide a New Paradigm for Earth Science? Sharper Predictions Using Occam's Digital Razor","Q13442814","Steven Weijs","10.1029/2019wr026471","Debates: Does Information Theory Provide a New Paradigm for Earth Science? Sharper Predictions Using Occam's Digital Razor","Water Resources Research","2020-03-02"
"Debris flow initiation and sediment recharge in gullies","Q13442814","Marwan Hassan","10.1016/j.geomorph.2009.02.021","Debris flow initiation and sediment recharge in gullies","Geomorphology","2009-02-28"
"Decadal‐scale changes in suspended wood after riparian recruitment in managed stands in headwater streams of coastal British Columbia, Canada","Q13442814","Q56794616","10.1002/esp.4859","Decadal‐scale changes in suspended wood after riparian recruitment in managed stands in headwater streams of coastal British Columbia, Canada","Earth Surface Processes and Landforms","2020-03-18"
"Decision making under uncertainty—An example for seismic risk management","Q13442814","Rehan Sadiq","10.1111/j.1539-6924.2009.01331.x","Decision making under uncertainty—An example for seismic risk management","Risk Analysis","2009-12-28"
"Decomposition rates of purple loosestrife (Lythrum salicaria) and Lyngbyei’s sedge (Carex lyngbyei) in the Fraser River Estuary","Q13442814","Q56794616","10.2307/1352723","Decomposition rates of purple loosestrife (Lythrum salicaria) and Lyngbyei’s sedge (Carex lyngbyei) in the Fraser River Estuary","Estuaries","2006-04-13"
"Deconstructing the Map after 25 Years: Furthering Engagements with Social Theory","Q13442814","Leila M. Harris","10.3138/carto.50.1.10","Deconstructing the Map after 25 Years: Furthering Engagements with Social Theory","Cartographica: The International Journal for Geographic Information and Geovisualization","2015-03-11"
"Defining “water resilience”: Debates, concepts, approaches, and gaps","Q13442814","Q58348879","10.1002/wat2.1334","Defining “water resilience”: Debates, concepts, approaches, and gaps","WIREs Water","2018-12-28"
"Degradation of cyanotoxin microcystin-LR in synthetic and natural waters by chemical-free UV/VUV radiation","Q13442814","Madjid Mohseni","10.1016/j.jhazmat.2019.120921","Degradation of cyanotoxin microcystin-LR in synthetic and natural waters by chemical-free UV/VUV radiation","Journal of Hazardous Materials","2019-07-24"
"Degradation of ferrate species produced electrochemically for use in drinking water treatment applications","Q13442814","Madjid Mohseni","10.1002/cjce.23073","Degradation of ferrate species produced electrochemically for use in drinking water treatment applications","The Canadian Journal of Chemical Engineering","2017-11-14"
"Degradation of natural organic matter in surface water using vacuum-UV irradiation","Q13442814","Madjid Mohseni","10.1016/j.jhazmat.2010.10.118","Degradation of natural organic matter in surface water using vacuum-UV irradiation","Journal of Hazardous Materials","2010-11-10"
"Dempster-Shafer Theory for Handling Conflict in Hydrological Data: Case of Snow Water Equivalent","Q13442814","Rehan Sadiq","10.1061/(asce)cp.1943-5487.0000149","Dempster-Shafer Theory for Handling Conflict in Hydrological Data: Case of Snow Water Equivalent","Journal of Computing in Civil Engineering","2012-05-14"
"Dependency and redundancy: How information theory untangles three variable interactions in environmental data","Q13442814","Steven Weijs","10.1029/2018wr022649","Dependency and redundancy: How information theory untangles three variable interactions in environmental data","Water Resources Research","2018-09-24"
"Desalination of water by vapor-phase transport through hydrophobic nanopores","Q13442814","Jongho Lee","10.1063/1.3419751","Desalination of water by vapor-phase transport through hydrophobic nanopores","Journal of Applied Physics","2010-08-24"
"Determination of the total and leachable amounts of organohalogens in soil","Q13442814","Gunilla Öberg","10.1016/0045-6535(94)90241-0","Determination of the total and leachable amounts of organohalogens in soil","Chemosphere","2003-08-06"
"Determining the Stability of Sugarcane Filtercake Biochar in Soils with Contrasting Levels of Organic Matter","Q13442814","Mark Johnson","10.3390/agriculture8060071","Determining the Stability of Sugarcane Filtercake Biochar in Soils with Contrasting Levels of Organic Matter","Agriculture","2018-05-29"
"Detritus processing, ecosystem engineering and benthic diversity: a test of predator–omnivore interference","Q13442814","Q56794616","10.1111/j.0021-8790.2004.00849.x","Detritus processing, ecosystem engineering and benthic diversity: a test of predator–omnivore interference","Journal of Animal Ecology","2004-06-16"
"Developing a hydrologic monitoring network in data‐scarce regions using open‐source arduino dataloggers","Q13442814","Mark Johnson","10.2134/ael2016.02.0011","Developing a hydrologic monitoring network in data‐scarce regions using open‐source arduino dataloggers","Agricultural & Environmental Letters","2016-04-29"
"Developing a level of service (LOS) index for operational management of public buildings","Q13442814","Rehan Sadiq","10.1016/j.scs.2017.06.015","Developing a level of service (LOS) index for operational management of public buildings","Sustainable Cities and Society","2017-06-27"
"Developing a road performance index using a Bayesian belief network model","Q13442814","Rehan Sadiq","10.1016/j.jfranklin.2011.07.015","Developing a road performance index using a Bayesian belief network model","Journal of the Franklin Institute","2011-08-19"
"Developing environmental indices using fuzzy numbers ordered weighted averaging (FN-OWA) operators","Q13442814","Rehan Sadiq","10.1007/s00477-007-0151-0","Developing environmental indices using fuzzy numbers ordered weighted averaging (FN-OWA) operators","Stochastic Environmental Research and Risk Assessment","2007-06-14"
"Developing environmental indices using fuzzy numbers power average (FN-PA) operator","Q13442814","Rehan Sadiq","10.1007/s13198-014-0257-y","Developing environmental indices using fuzzy numbers power average (FN-PA) operator","International Journal of System Assurance Engineering and Management","2014-04-15"
"Developing new urban water supplies: investigating motivations and barriers to groundwater use in Cape Town","Q13442814","Leila M. Harris","10.1080/07900627.2018.1509787","Developing new urban water supplies: investigating motivations and barriers to groundwater use in Cape Town","International Journal of Water Resources Development","2018-09-26"
"Development and application of a large‐scale, physically based, distributed suspended sediment transport model on the Fraser River Basin, British Columbia, Canada","Q13442814","Marwan Hassan","10.1029/2017jf004578","Development and application of a large‐scale, physically based, distributed suspended sediment transport model on the Fraser River Basin, British Columbia, Canada","Journal of Geophysical Research: Earth Surface","2018-09-19"
"Development of Consumer Perception Index for assessing greywater reuse potential in arid environments","Q13442814","Rehan Sadiq","10.4314/wsa.v44i4.25","Development of Consumer Perception Index for assessing greywater reuse potential in arid environments","Water SA","2018-11-07"
"Development of Omniphobic Desalination Membranes Using a Charged Electrospun Nanofiber Scaffold","Q13442814","Jongho Lee","10.1021/acsami.6b02419.s001","Development of Omniphobic Desalination Membranes Using a Charged Electrospun Nanofiber Scaffold","American Chemical Society (ACS)","2020-04-08"
"Development of a membrane resistance based modeling framework for comparison of ultrafiltration processes","Q13442814","Pierre Bérubé","10.33915/etd.2325","Development of a membrane resistance based modeling framework for comparison of ultrafiltration processes","West Virginia University Libraries","2019-10-02"
"Development of a method for the characterization and operation of UV-LED for water treatment","Q13442814","Madjid Mohseni","10.1016/j.watres.2017.06.015","Development of a method for the characterization and operation of UV-LED for water treatment","Water Research","2017-06-06"
"Development of a predictive model for Clostridium difficile infection incidence in hospitals using Gaussian mixture model and Dempster–Shafer theory","Q13442814","Rehan Sadiq","10.1007/s00477-017-1459-z","Development of a predictive model for Clostridium difficile infection incidence in hospitals using Gaussian mixture model and Dempster–Shafer theory","Stochastic Environmental Research and Risk Assessment","2017-10-07"
"Development of a stochastic framework to design/rehabilitate urban stormwater drainage systems based on a resilient approach","Q13442814","Rehan Sadiq","10.1080/1573062x.2018.1424218","Development of a stochastic framework to design/rehabilitate urban stormwater drainage systems based on a resilient approach","Urban Water Journal","2018-01-15"
"Development of novel TiO2 sol–gel-derived composite and its photocatalytic activities for trichloroethylene oxidation","Q13442814","Madjid Mohseni","10.1016/j.apcatb.2004.05.016","Development of novel TiO2 sol–gel-derived composite and its photocatalytic activities for trichloroethylene oxidation","Applied Catalysis B: Environmental","2004-08-05"
"Development, application, and sensitivity analysis of a water quality index for drinking water management in small systems","Q13442814","Rehan Sadiq","10.1007/s10661-015-4908-5","Development, application, and sensitivity analysis of a water quality index for drinking water management in small systems","Environmental Monitoring and Assessment","2015-10-12"
"Dietary responses of tidal flat macrobenthos to reduction of benthic microalgae: a test for potential use of allochthonous organic matter","Q13442814","Q56794616","10.3354/meps08094","Dietary responses of tidal flat macrobenthos to reduction of benthic microalgae: a test for potential use of allochthonous organic matter","Marine Ecology Progress Series","2009-05-14"
"Dietary variations of predaceous caddisfly larvae (Trichoptera: Rhyacophilidae, Polycentropodidae and Arctopsychidae) from British Columbian streams","Q13442814","Q56794616","10.1007/bf00014276","Dietary variations of predaceous caddisfly larvae (Trichoptera: Rhyacophilidae, Polycentropodidae and Arctopsychidae) from British Columbian streams","Hydrobiologia","2011-01-17"
"Dinâmica dos atributos físico-químicos e variação sazonal dos estoques de carbono no solo em diferentes fitofisionomias do Pantanal Norte Mato-Grossense","Q13442814","Mark Johnson","10.1590/0100-67622015000200012","Dinâmica dos atributos físico-químicos e variação sazonal dos estoques de carbono no solo em diferentes fitofisionomias do Pantanal Norte Mato-Grossense","Revista Árvore","2015-06-04"
"Direct and continuous measurement of dissolved carbon dioxide in freshwater aquatic systems—method and applications","Q13442814","Mark Johnson","10.1002/eco.95","Direct and continuous measurement of dissolved carbon dioxide in freshwater aquatic systems—method and applications","Ecohydrology","2009-10-23"
