"Len","P31","P50","P356","P1476"
"Distribution of surface shear stress for a densely packed submerged hollow fiber membrane system","Q13442814","Pierre Bérubé","10.1016/j.desal.2014.11.014","Distribution of surface shear stress for a densely packed submerged hollow fiber membrane system"
"Distribution pattern of coniferous seedlings after a partial harvest along a creek in a Canadian Pacific northwest forest","Q13442814","Q56794616","10.1007/s10310-015-0479-0","Distribution pattern of coniferous seedlings after a partial harvest along a creek in a Canadian Pacific northwest forest"
"Do riparian buffer strips mitigate the impacts of clearcutting on small mammals?","Q13442814","Q56794616","10.1016/s0006-3207(02)00357-9","Do riparian buffer strips mitigate the impacts of clearcutting on small mammals?"
"Do riparian zones qualify as critical habitat for endangered freshwater fishes?","Q13442814","Q56794616","10.1139/f10-063","Do riparian zones qualify as critical habitat for endangered freshwater fishes?"
"Does leaf litter from invasive plants contribute the same support of a stream ecosystem function as native vegetation?","Q13442814","Q56794616","10.1002/ecs2.1779","Does leaf litter from invasive plants contribute the same support of a stream ecosystem function as native vegetation?"
"Does small‐bodied salmon spawning activity enhance streambed mobility?","Q13442814","Marwan Hassan","10.1002/2015wr017079","Does small‐bodied salmon spawning activity enhance streambed mobility?"
"Does trophic position of the omnivorous signal crayfish (Pacifastacus leniusculus) in a stream food web vary with life history stage or density?","Q13442814","Q56794616","10.1139/f05-167","Does trophic position of the omnivorous signal crayfish (Pacifastacus leniusculus) in a stream food web vary with life history stage or density?"
"Does variable channel morphology lead to dynamic salmon habitat?","Q13442814","Marwan Hassan","10.1002/esp.4726","Does variable channel morphology lead to dynamic salmon habitat?"
"Does water velocity influence optimal escape behaviors in stream insects?","Q13442814","Q56794616","10.1093/beheco/arp182","Does water velocity influence optimal escape behaviors in stream insects?"
"Double-funneling of trees: Stemflow and root-induced preferential flow","Q13442814","Mark Johnson","10.2980/i1195-6860-13-3-324.1","Double-funneling of trees: Stemflow and root-induced preferential flow"
"Drag forces on large cylinders","Q13442814","Marwan Hassan","10.1002/rra.2868","Drag forces on large cylinders"
"Drainage basin dynamics and morphology","Q13442814","Marwan Hassan","10.1016/0378-3839(79)90023-1","Drainage basin dynamics and morphology"
"Drinking Water Treatments for Arsenic and Manganese Removal and Health Risk Assessment in White Rock, Canada","Q13442814","Madjid Mohseni","10.1007/s12403-019-00338-4","Drinking Water Treatments for Arsenic and Manganese Removal and Health Risk Assessment in White Rock, Canada"
"Drinking Water Treatments for Arsenic and Manganese Removal and Health Risk Assessment in White Rock, Canada","Q13442814","Rehan Sadiq","10.1007/s12403-019-00338-4","Drinking Water Treatments for Arsenic and Manganese Removal and Health Risk Assessment in White Rock, Canada"
"Drinking water infrastructure assessment: the national research council of canada perspective","Q13442814","Rehan Sadiq","10.1061/41036(342)67","Drinking water infrastructure assessment: the national research council of canada perspective"
"Drinking water management and governance in Canada: an innovative Plan-Do-Check-Act (PDCA) framework for a safe drinking water supply","Q13442814","Rehan Sadiq","10.1007/s00267-017-0873-9","Drinking water management and governance in Canada: an innovative Plan-Do-Check-Act (PDCA) framework for a safe drinking water supply"
"Drinking water quality assessment in distribution networks: A water footprint approach","Q13442814","Rehan Sadiq","10.1016/j.scitotenv.2021.145844","Drinking water quality assessment in distribution networks: A water footprint approach"
"Drinking water quality guidelines across Canadian provinces and territories: Jurisdictional variation in the context of decentralized water governance","Q13442814","Leila M. Harris","10.3390/ijerph110504634","Drinking water quality guidelines across Canadian provinces and territories: Jurisdictional variation in the context of decentralized water governance"
"Drinking-water management in Canadian provinces and territories: a review and comparison of management approaches for ensuring safe drinking water","Q13442814","Rehan Sadiq","10.2166/wp.2018.040","Drinking-water management in Canadian provinces and territories: a review and comparison of management approaches for ensuring safe drinking water"
"Drivers for and against municipal wastewater recycling: A review","Q13442814","Nadja Kunz","10.2166/wst.2015.496","Drivers for and against municipal wastewater recycling: A review"
"Drivers, impacts, mechanisms and adaptation in insect invasions","Q13442814","Q56794616","10.1007/s10530-016-1088-3","Drivers, impacts, mechanisms and adaptation in insect invasions"
"Drought may amplify the impacts of salt pollution in pond ecosystems: an experimental exploration","Q13442814","Q56794616","10.1127/fal/2020/1225","Drought may amplify the impacts of salt pollution in pond ecosystems: an experimental exploration"
"Dynamic Pressure Measurements in a Circulating Fluidized Bed","Q13442814","Madjid Mohseni","10.33915/etd.2749","Dynamic Pressure Measurements in a Circulating Fluidized Bed"
"EVOLUTION OF RIVER LONG-PROFILES, ORGANIZATION OF PROCESS DOMAINS AND DOWNSTREAM HYDRAULIC GEOMETRY IN GLACIATED DRAINAGE BASINS OF COASTAL BRITISH COLUMBIA","Q13442814","Marwan Hassan","10.1029/2005jf000358","EVOLUTION OF RIVER LONG-PROFILES, ORGANIZATION OF PROCESS DOMAINS AND DOWNSTREAM HYDRAULIC GEOMETRY IN GLACIATED DRAINAGE BASINS OF COASTAL BRITISH COLUMBIA"
"EXPERIMENTAL MEASUREMENTS OF SHEAR STRESS IN A TUBULAR AIR LIFT MEMBRANE SYSTEM","Q13442814","Pierre Bérubé","10.2166/wst.2011.521","EXPERIMENTAL MEASUREMENTS OF SHEAR STRESS IN A TUBULAR AIR LIFT MEMBRANE SYSTEM"
"Ecohydrological responses to rewetting of a highly impacted raised bog ecosystem","Q13442814","Mark Johnson","10.1002/eco.1922","Ecohydrological responses to rewetting of a highly impacted raised bog ecosystem"
"Ecohydrology and biogeochemistry of the rhizosphere in forested ecosystems","Q13442814","Mark Johnson","10.1007/978-94-007-1363-5_24","Ecohydrology and biogeochemistry of the rhizosphere in forested ecosystems"
"Ecological Linkages Between Headwaters and Downstream Ecosystems: Transport of Organic Matter, Invertebrates, and Wood Down Headwater Channels1","Q13442814","Q56794616","10.1111/j.1752-1688.2007.00007.x","Ecological Linkages Between Headwaters and Downstream Ecosystems: Transport of Organic Matter, Invertebrates, and Wood Down Headwater Channels1"
"Ecological neighborhoods: scaling environmental patterns","Q13442814","Q56794616","10.2307/3565770","Ecological neighborhoods: scaling environmental patterns"
"Ecological risk assessment of accidental release of flowback water: A conceptual framework","Q13442814","Rehan Sadiq","10.1080/10807039.2017.1385384","Ecological risk assessment of accidental release of flowback water: A conceptual framework"
"Ecological risk assessment of acid rock drainage under uncertainty: The fugacity approach","Q13442814","Rehan Sadiq","10.1016/j.eti.2015.07.004","Ecological risk assessment of acid rock drainage under uncertainty: The fugacity approach"
"Economic and Energy Efficiency of Net-Zero Water Communities: System Dynamics Analysis","Q13442814","Rehan Sadiq","10.1061/jswbay.0000854","Economic and Energy Efficiency of Net-Zero Water Communities: System Dynamics Analysis"
"Economic evaluation of building energy retrofits: A fuzzy based approach","Q13442814","Rehan Sadiq","10.1016/j.enbuild.2017.01.031","Economic evaluation of building energy retrofits: A fuzzy based approach"
"Ecosystem services of a functionally diverse riparian zone in the Amazon–Cerrado agricultural frontier","Q13442814","Mark Johnson","10.32942/osf.io/85ypg","Ecosystem services of a functionally diverse riparian zone in the Amazon–Cerrado agricultural frontier"
"Effect of regulations and treatment technologies on water distribution infrastructure","Q13442814","Rehan Sadiq","10.1002/j.1551-8833.2009.tb09860.x","Effect of regulations and treatment technologies on water distribution infrastructure"
"Effect of stress history on sediment transport and channel adjustment in graded gravel-bed rivers","Q13442814","Marwan Hassan","10.5194/egusphere-egu21-6889","Effect of stress history on sediment transport and channel adjustment in graded gravel-bed rivers"
"Effect of vacuum UV irradiation on the concentration of dissolved cyanobacterial toxin microcystin-LR","Q13442814","Madjid Mohseni","10.2166/ws.2017.214","Effect of vacuum UV irradiation on the concentration of dissolved cyanobacterial toxin microcystin-LR"
"Effective discharge in small formerly glaciated mountain streams of British Columbia: Limitations and implications","Q13442814","Marwan Hassan","10.1002/2013wr014529","Effective discharge in small formerly glaciated mountain streams of British Columbia: Limitations and implications"
"Effects of Land-use Changes and Stormflow-detention Basins on Flooding and Nonpoint-source Pollution, in Irondequoit Creek Basin, Monroe and Ontario Counties, New York …","Q13442814","Mark Johnson","10.3133/sir20055070","Effects of Land-use Changes and Stormflow-detention Basins on Flooding and Nonpoint-source Pollution, in Irondequoit Creek Basin, Monroe and Ontario Counties, New York …"
"Effects of Nonylphenol on Tail Resorption and Metamorphic Staging in Rana catesbeiana Tadpoles","Q13442814","Q56794616","10.1016/0016-6480(76)90051-4","Effects of Nonylphenol on Tail Resorption and Metamorphic Staging in Rana catesbeiana Tadpoles"
"Effects of UV/H2O2 advanced oxidation on chemical characteristics and chlorine reactivity of surface water natural organic matter","Q13442814","Madjid Mohseni","10.1016/j.watres.2010.05.025","Effects of UV/H2O2 advanced oxidation on chemical characteristics and chlorine reactivity of surface water natural organic matter"
"Effects of bottleneck blockage on the resilience of an urban stormwater drainage system","Q13442814","Rehan Sadiq","10.1080/02626667.2019.1690657","Effects of bottleneck blockage on the resilience of an urban stormwater drainage system"
"Effects of elevated operating temperatures on methanol removal kinetics from synthetic kraft pulp mill condensate using a membrane bioreactor","Q13442814","Pierre Bérubé","10.1016/s0043-1354(00)00203-7","Effects of elevated operating temperatures on methanol removal kinetics from synthetic kraft pulp mill condensate using a membrane bioreactor"
"Effects of food and cover on the growth, survival, and movement of cutthroat trout (Oncorhynchus clarki) in coastal streams","Q13442814","Q56794616","10.1139/f02-079","Effects of food and cover on the growth, survival, and movement of cutthroat trout (Oncorhynchus clarki) in coastal streams"
"Effects of forest tent caterpillar defoliation on carbon and water fluxes in a boreal aspen stand","Q13442814","Mark Johnson","10.1016/j.agrformet.2018.01.035","Effects of forest tent caterpillar defoliation on carbon and water fluxes in a boreal aspen stand"
"Effects of glacial retreat on proglacial streams and riparian zones in the Coast and North Cascade Mountains","Q13442814","Marwan Hassan","10.1002/esp.3453","Effects of glacial retreat on proglacial streams and riparian zones in the Coast and North Cascade Mountains"
"Effects of inorganics on the degradation of micropollutants with vacuum UV (VUV) advanced oxidation","Q13442814","Madjid Mohseni","10.1080/10934529.2017.1282770","Effects of inorganics on the degradation of micropollutants with vacuum UV (VUV) advanced oxidation"
"Effects of kraft evaporator condensate matrix on methanol removal in a high temperature membrane bioreactor","Q13442814","Pierre Bérubé","10.1016/s0273-1223(99)00735-0","Effects of kraft evaporator condensate matrix on methanol removal in a high temperature membrane bioreactor"
"Effects of landuse intensification on stream basal resources and invertebrate communities","Q13442814","Q56794616","10.1086/693457","Effects of landuse intensification on stream basal resources and invertebrate communities"
"Effects of light and nutrients on grazer-periphyton interactions","Q13442814","Q56794616","10.1080/03680770.2001.11901911","Effects of light and nutrients on grazer-periphyton interactions"
"Effects of logging second-growth forests on headwater populations of coastal cutthroat trout: A 6-year, multistream, before-and-after field experiment","Q13442814","Q56794616","10.1577/t04-232.1","Effects of logging second-growth forests on headwater populations of coastal cutthroat trout: A 6-year, multistream, before-and-after field experiment"
"Effects of ontogenetic stage and density on the ecological role of the signal crayfish (Pacifastacus leniusculus) in a coastal Pacific stream","Q13442814","Q56794616","10.1899/08-092.1","Effects of ontogenetic stage and density on the ecological role of the signal crayfish (Pacifastacus leniusculus) in a coastal Pacific stream"
"Effects of pH and dilution on African clawed frog (Xenopus laevis) sperm motility","Q13442814","Q56794616","10.1139/z04-021","Effects of pH and dilution on African clawed frog (Xenopus laevis) sperm motility"
"Effects of riparian forest harvest on streams: a meta‐analysis","Q13442814","Q56794616","10.1111/1365-2664.12332","Effects of riparian forest harvest on streams: a meta‐analysis"
"Effects of seston quality on the growth of a lake-outlet filter feeder","Q13442814","Q56794616","10.2307/3544157","Effects of seston quality on the growth of a lake-outlet filter feeder"
"Effects of small rivers on chemical properties of sediment and diets for primary consumers in estuarine tidal flats","Q13442814","Q56794616","10.3354/meps07388","Effects of small rivers on chemical properties of sediment and diets for primary consumers in estuarine tidal flats"
"Effects of the bacterial insecticide Bacillus thuringiensis var. kurstaki (Btk) on a stream benthic community","Q13442814","Q56794616","10.1139/f94-103","Effects of the bacterial insecticide Bacillus thuringiensis var. kurstaki (Btk) on a stream benthic community"
"Effects of tributary size on the resource supply and physical habitat at tributary junctions along two mainstem rivers","Q13442814","Q56794616","10.1139/cjfas-2019-0435","Effects of tributary size on the resource supply and physical habitat at tributary junctions along two mainstem rivers"
"Efficacy of antifouling modification of ultrafiltration membranes by grafting zwitterionic polymer brushes","Q13442814","Jongho Lee","10.1016/j.seppur.2017.08.034","Efficacy of antifouling modification of ultrafiltration membranes by grafting zwitterionic polymer brushes"
"Efficient removal of GenX (HFPO-DA) and other perfluorinated ether acids from drinking and recycled waters using anion exchange resins","Q13442814","Madjid Mohseni","10.1016/j.jhazmat.2019.121261","Efficient removal of GenX (HFPO-DA) and other perfluorinated ether acids from drinking and recycled waters using anion exchange resins"
"Einstein conjecture and resting-time statistics in the bed-load transport of monodispersed particles","Q13442814","Marwan Hassan","10.1017/jfm.2019.563","Einstein conjecture and resting-time statistics in the bed-load transport of monodispersed particles"
"Electrochemical Ferrates for Drinking Water Treatment: Quantification, Synthesis and Degradation Studies","Q13442814","Madjid Mohseni","10.1149/ma2017-02/54/2283","Electrochemical Ferrates for Drinking Water Treatment: Quantification, Synthesis and Degradation Studies"
"Electrosynthesis of Near-Neutral Ferrate Species for Drinking Water Treatment Using a Recirculating Batch Reactor","Q13442814","Madjid Mohseni","10.1149/ma2018-01/20/1300","Electrosynthesis of Near-Neutral Ferrate Species for Drinking Water Treatment Using a Recirculating Batch Reactor"
"Electrosynthesis of ferrate in a batch reactor at neutral conditions for drinking water applications","Q13442814","Madjid Mohseni","10.1002/cjce.23142","Electrosynthesis of ferrate in a batch reactor at neutral conditions for drinking water applications"
"Elucidating syntrophic butyrate-degrading populations in anaerobic digesters using stable isotope-informed genome-resolved metagenomics","Q13442814","Q88314953","10.1101/563387","Elucidating syntrophic butyrate-degrading populations in anaerobic digesters using stable isotope-informed genome-resolved metagenomics"
"Elucidating the Trade-off between Membrane Wetting Resistance and Water Vapor Flux in Membrane Distillation","Q13442814","Jongho Lee","10.1021/acs.est.0c02547.s001","Elucidating the Trade-off between Membrane Wetting Resistance and Water Vapor Flux in Membrane Distillation"
"Elucidating the Trade-off between Membrane Wetting Resistance and Water Vapor Flux in Membrane Distillation","Q13442814","Jongho Lee","10.1021/acs.est.0c02547","Elucidating the Trade-off between Membrane Wetting Resistance and Water Vapor Flux in Membrane Distillation"
"Emergy-based life cycle assessment (Em-LCA) for sustainability appraisal of infrastructure systems: a case study on paved roads","Q13442814","Rehan Sadiq","10.1007/s10098-013-0615-5","Emergy-based life cycle assessment (Em-LCA) for sustainability appraisal of infrastructure systems: a case study on paved roads"
"Emergy-based life cycle assessment (Em-LCA) of multi-unit and single-family residential buildings in Canada","Q13442814","Rehan Sadiq","10.1016/j.ijsbe.2014.09.001","Emergy-based life cycle assessment (Em-LCA) of multi-unit and single-family residential buildings in Canada"
"Empirical models to predict disinfection by-products (DBPs) in drinking water","Q13442814","Rehan Sadiq","10.1016/b978-0-444-52272-6.00282-8","Empirical models to predict disinfection by-products (DBPs) in drinking water"
"Emulation of natural disturbance (END) for riparian forest management: synthesis and recommendations","Q13442814","Q56794616","10.1899/11-094.1","Emulation of natural disturbance (END) for riparian forest management: synthesis and recommendations"
"Enabling high-accuracy long-read amplicon sequences using unique molecular identifiers with Nanopore or PacBio sequencing","Q13442814","Q88314953","10.1101/645903","Enabling high-accuracy long-read amplicon sequences using unique molecular identifiers with Nanopore or PacBio sequencing"
"Energetic, environmental and economic performance of electric vehicles: Experimental evaluation","Q13442814","Rehan Sadiq","10.1016/j.trd.2014.11.015","Energetic, environmental and economic performance of electric vehicles: Experimental evaluation"
"Energy Efficiency and Global Warming Potential in the Residential Sector: Comparative Evaluation of Canada and Saudi Arabia","Q13442814","Rehan Sadiq","10.1061/(asce)ae.1943-5568.0000253","Energy Efficiency and Global Warming Potential in the Residential Sector: Comparative Evaluation of Canada and Saudi Arabia"
"Energy Performance Assessment Framework for Residential Buildings in Saudi Arabia","Q13442814","Rehan Sadiq","10.3390/su13042232","Energy Performance Assessment Framework for Residential Buildings in Saudi Arabia"
"Energy consumption related to shear stress for membrane bioreactors used for wastewater treatment","Q13442814","Pierre Bérubé","10.2478/v10173-012-0012-1","Energy consumption related to shear stress for membrane bioreactors used for wastewater treatment"
"Energy rating system for climate conscious operation of multi-unit residential buildings","Q13442814","Rehan Sadiq","10.1007/s10098-018-1510-x","Energy rating system for climate conscious operation of multi-unit residential buildings"
"Energy recovery from ethanol in wastewater in a microbial fuel cell","Q13442814","Madjid Mohseni","10.1149/ma2010-02/4/276","Energy recovery from ethanol in wastewater in a microbial fuel cell"
"Engineering Surface Energy and Nanostructure of Microporous Films for Expanded Membrane Distillation Applications","Q13442814","Jongho Lee","10.1021/acs.est.6b02316.s001","Engineering Surface Energy and Nanostructure of Microporous Films for Expanded Membrane Distillation Applications"
"Enhanced fuzzy evidential reasoning using an optimization approach for water quality monitoring","Q13442814","Rehan Sadiq","10.1109/ifsa-nafips.2013.6608561","Enhanced fuzzy evidential reasoning using an optimization approach for water quality monitoring"
"Enhanced water transport and salt rejection through hydrophobic zeolite pores","Q13442814","Jongho Lee","10.1088/1361-6528/aa9773","Enhanced water transport and salt rejection through hydrophobic zeolite pores"
"Enhancement of UV/H2O2 Efficacy Using Strong Base Anion Exchange Resins","Q13442814","Madjid Mohseni","10.5942/jawwa.2016.108.0050","Enhancement of UV/H2O2 Efficacy Using Strong Base Anion Exchange Resins"
"Entropy Ensemble Filter: A Modified Bootstrap Aggregating (Bagging) Procedure to Improve Efficiency in Ensemble Model Simulation","Q13442814","Steven Weijs","10.3390/e19100520","Entropy Ensemble Filter: A Modified Bootstrap Aggregating (Bagging) Procedure to Improve Efficiency in Ensemble Model Simulation"
"Environmental Studies","Q13442814","Gunilla Öberg","10.1080/00207230214402","Environmental Studies"
"Environmental and economic aspects of production and utilization of RDF as alternative fuel in cement plants: A case study of Metro Vancouver Waste Management","Q13442814","Rehan Sadiq","10.1016/j.resconrec.2013.10.009","Environmental and economic aspects of production and utilization of RDF as alternative fuel in cement plants: A case study of Metro Vancouver Waste Management"
"Environmental assessment under uncertainty using Dempster–Shafer theory and Z-numbers","Q13442814","Rehan Sadiq","10.1007/s12652-019-01228-y","Environmental assessment under uncertainty using Dempster–Shafer theory and Z-numbers"
"Environmental decision-making under uncertainty using intuitionistic fuzzy analytic hierarchy process (IF-AHP)","Q13442814","Rehan Sadiq","10.1007/s00477-007-0197-z","Environmental decision-making under uncertainty using intuitionistic fuzzy analytic hierarchy process (IF-AHP)"
"Environmental risk assessment of acid rock drainage under uncertainty: the probability bounds and PHREEQC approach","Q13442814","Rehan Sadiq","10.1016/j.jhazmat.2015.07.022","Environmental risk assessment of acid rock drainage under uncertainty: the probability bounds and PHREEQC approach"
"Erosion, Sedimentation, and Geomorphology-Sensitivity of bed load transport in Harris Creek: Seasonal and spatial variation over a cobble-gravel bar (Paper 2000WR900346)","Q13442814","Marwan Hassan","10.1029/2000wr900346","Erosion, Sedimentation, and Geomorphology-Sensitivity of bed load transport in Harris Creek: Seasonal and spatial variation over a cobble-gravel bar (Paper 2000WR900346)"
"Erosion, Sedimentation, and Geomorphology-Stabilizing self-organized structures in gravel-bed stream channels: Field and experimental observations (Paper 98WR00484)","Q13442814","Marwan Hassan","10.1029/98wr00484","Erosion, Sedimentation, and Geomorphology-Stabilizing self-organized structures in gravel-bed stream channels: Field and experimental observations (Paper 98WR00484)"
"Erratum to¿ The effect of hydrodynamic conditions and system configurations on the permeate flux in a submerged hollow fiber membrane system¿[J. Membr. Sci. 271 (2006) 29¿ 37]","Q13442814","Pierre Bérubé","10.1016/j.memsci.2006.01.048","Erratum to¿ The effect of hydrodynamic conditions and system configurations on the permeate flux in a submerged hollow fiber membrane system¿[J. Membr. Sci. 271 (2006) 29¿ 37]"
"Erratum: Improved performance of a passive air breathing flat‐plate microbial fuel cell","Q13442814","Madjid Mohseni","10.1002/cjce.22190","Erratum: Improved performance of a passive air breathing flat‐plate microbial fuel cell"
"Establishing light as a causal mechanism structuring stream communities in response to experimental manipulation of riparian buffer width","Q13442814","Q56794616","10.1899/0887-3593(2004)023<0542:elaacm>2.0.co;2","Establishing light as a causal mechanism structuring stream communities in response to experimental manipulation of riparian buffer width"
"Estimating Stream Surface Flow Velocities from Video Clips","Q13442814","Steven Weijs","10.1109/icip.2015.7351509","Estimating Stream Surface Flow Velocities from Video Clips"
"Estimating rates of wetland loss using power-law functions","Q13442814","Q57582079","10.1007/s13157-017-0960-y","Estimating rates of wetland loss using power-law functions"
"Estimating risk of contaminant intrusion in distribution networks using fuzzy rule-based modeling","Q13442814","Rehan Sadiq","10.1080/10286600600789276","Estimating risk of contaminant intrusion in distribution networks using fuzzy rule-based modeling"
"Estimating suspended sediment concentrations in areas with limited hydrological data using a mixed‐effects model","Q13442814","Marwan Hassan","10.1002/hyp.8462","Estimating suspended sediment concentrations in areas with limited hydrological data using a mixed‐effects model"
"Estimating winter balance and its uncertainty from direct measurements of snow depth and density on alpine glaciers","Q13442814","Valentina Radić","10.1017/jog.2018.68","Estimating winter balance and its uncertainty from direct measurements of snow depth and density on alpine glaciers"
"Euromembrane Conference 2012 [P3. 089] Efficient gas sparging design through characterising the hydrodynamics inside submerged HF membrane systems","Q13442814","Pierre Bérubé","10.1016/j.proeng.2012.08.985","Euromembrane Conference 2012 [P3. 089] Efficient gas sparging design through characterising the hydrodynamics inside submerged HF membrane systems"
"Evaluating Water Use for Agricultural Intensification in Southern Amazonia Using the Water Footprint Sustainability Assessment","Q13442814","Mark Johnson","10.3390/w10040349","Evaluating Water Use for Agricultural Intensification in Southern Amazonia Using the Water Footprint Sustainability Assessment"
"Evaluating leakage potential in water distribution systems: a fuzzy-based methodology","Q13442814","Rehan Sadiq","10.2166/aqua.2012.151","Evaluating leakage potential in water distribution systems: a fuzzy-based methodology"
"Evaluating motivation of construction workers: A comparison of fuzzy rule-based model with the traditional expectancy theory","Q13442814","Rehan Sadiq","10.3846/13923730.2014.914103","Evaluating motivation of construction workers: A comparison of fuzzy rule-based model with the traditional expectancy theory"
"Evaluating offshore technologies for produced water management using GreenPro-I—a risk-based life cycle analysis for green and clean process selection and …","Q13442814","Rehan Sadiq","10.1016/j.compchemeng.2004.11.003","Evaluating offshore technologies for produced water management using GreenPro-I—a risk-based life cycle analysis for green and clean process selection and …"
"Evaluating reliability and resolution of ensemble forecasts using information theory","Q13442814","Steven Weijs","10.1175/1520-0493(2002)130<1653:epfuit>2.0.co;2","Evaluating reliability and resolution of ensemble forecasts using information theory"
"Evaluating risk of water mains failure using a Bayesian belief network model","Q13442814","Rehan Sadiq","10.1016/j.ejor.2014.06.033","Evaluating risk of water mains failure using a Bayesian belief network model"
"Evaluating sampling efforts of standard laboratory analysis and mid-infrared spectroscopy for cost effective digital soil mapping at field scale","Q13442814","Mark Johnson","10.1016/j.geoderma.2019.113925","Evaluating sampling efforts of standard laboratory analysis and mid-infrared spectroscopy for cost effective digital soil mapping at field scale"
"Evaluating water quality failure potential in water distribution systems: a fuzzy-TOPSIS-OWA-based methodology","Q13442814","Rehan Sadiq","10.1007/s11269-013-0283-6","Evaluating water quality failure potential in water distribution systems: a fuzzy-TOPSIS-OWA-based methodology"
"Evaluating water reuse applications under uncertainty: generalized intuitionistic fuzzy-based approach","Q13442814","Rehan Sadiq","10.1007/s00477-017-1449-1","Evaluating water reuse applications under uncertainty: generalized intuitionistic fuzzy-based approach"
"Evaluation and comparison of conventional and advanced oxidation processes for the removal of PPCPs and EDCs and their effect on THM-formation potentials","Q13442814","Madjid Mohseni","10.1080/01919512.2014.940028","Evaluation and comparison of conventional and advanced oxidation processes for the removal of PPCPs and EDCs and their effect on THM-formation potentials"
"Evaluation of IPCC Models’ Performance in Simulating Late-Twentieth-Century Climatologies and Weather Patterns over North America","Q13442814","Valentina Radić","10.1175/jcli-d-11-00011.1","Evaluation of IPCC Models’ Performance in Simulating Late-Twentieth-Century Climatologies and Weather Patterns over North America"
"Evaluation of Weak and Strong Basic Anion Exchange Resins for NOM Removal","Q13442814","Madjid Mohseni","10.1061/(asce)ee.1943-7870.0001111","Evaluation of Weak and Strong Basic Anion Exchange Resins for NOM Removal"
"Evaluation of adsorption and coagulation as membrane pretreatment steps for the removal of organic material and disinfection-by-product precursors","Q13442814","Pierre Bérubé","10.1139/s02-035","Evaluation of adsorption and coagulation as membrane pretreatment steps for the removal of organic material and disinfection-by-product precursors"
"Evaluation of available indices for inherently safer design options","Q13442814","Rehan Sadiq","10.1002/prs.680220203","Evaluation of available indices for inherently safer design options"
"Evaluation of data driven models for pipe burst prediction in urban water distribution systems","Q13442814","Rehan Sadiq","10.1080/1573062x.2019.1637004","Evaluation of data driven models for pipe burst prediction in urban water distribution systems"
"Evaluation of different methods to model near-surface turbulent fluxes for a mountain glacier in the Cariboo Mountains, BC, Canada","Q13442814","Valentina Radić","10.5194/tc-11-2897-2017","Evaluation of different methods to model near-surface turbulent fluxes for a mountain glacier in the Cariboo Mountains, BC, Canada"
"Evaluation of financial incentives for green buildings in Canadian landscape","Q13442814","Rehan Sadiq","10.1016/j.rser.2020.110199","Evaluation of financial incentives for green buildings in Canadian landscape"
"Evaluation of generic types of drilling fluid using a risk-based analytic hierarchy process","Q13442814","Rehan Sadiq","10.1007/s00267-003-0009-2","Evaluation of generic types of drilling fluid using a risk-based analytic hierarchy process"
"Evaluation of model parameters for simulating TiO2 coated UV reactors","Q13442814","Madjid Mohseni","10.2166/wst.2011.191","Evaluation of model parameters for simulating TiO2 coated UV reactors"
"Evaluation of slurry settling rate using fuzzy rule-based modeling","Q13442814","Rehan Sadiq","10.1007/s11440-006-0008-6","Evaluation of slurry settling rate using fuzzy rule-based modeling"
"Evaluation of source water protection strategies: a fuzzy-based model","Q13442814","Rehan Sadiq","10.1016/j.jenvman.2013.02.022","Evaluation of source water protection strategies: a fuzzy-based model"
"Evaluations of conventional, ozone and UV/H2O2 for removal of emerging contaminants and THM-FPs","Q13442814","Madjid Mohseni","10.2166/wqrjc.2014.018","Evaluations of conventional, ozone and UV/H2O2 for removal of emerging contaminants and THM-FPs"
"Evidence for ecosystem engineering in a lentic habitat by tadpoles of the western toad","Q13442814","Q56794616","10.1007/s00027-010-0151-x","Evidence for ecosystem engineering in a lentic habitat by tadpoles of the western toad"
"Evidence that Holds for Scrutiny","Q13442814","Gunilla Öberg","10.1002/9781444328486.ch8","Evidence that Holds for Scrutiny"
"Evidential cognitive maps","Q13442814","Rehan Sadiq","10.1016/j.knosys.2012.04.007","Evidential cognitive maps"
"Evidential reasoning using extended fuzzy Dempster–Shafer theory for handling various facets of information deficiency","Q13442814","Rehan Sadiq","10.1002/int.20491","Evidential reasoning using extended fuzzy Dempster–Shafer theory for handling various facets of information deficiency"
"Evolving connections, discourses and identities in rural–urban water struggles","Q13442814","Leila M. Harris","10.1080/02508060.2019.1583312","Evolving connections, discourses and identities in rural–urban water struggles"
"Examining CO2 concentrations and flow dynamics in streams","Q13442814","Mark Johnson","10.1002/2013eo230014","Examining CO2 concentrations and flow dynamics in streams"
"Expanding resilience comparisons to address management needs: a response to Ingrisch and Bahn","Q13442814","Q56794616","10.1016/j.tree.2018.06.005","Expanding resilience comparisons to address management needs: a response to Ingrisch and Bahn"
"Experiment on morphological and hydraulic adjustments of step‐pool unit to flow increase","Q13442814","Marwan Hassan","10.1002/esp.4722","Experiment on morphological and hydraulic adjustments of step‐pool unit to flow increase"
"Experiment on temporal variation of bed load transport in response to changes in sediment supply in streams","Q13442814","Marwan Hassan","10.1002/2016wr019460","Experiment on temporal variation of bed load transport in response to changes in sediment supply in streams"
"Experimental Insights Into the Threshold of Motion in Alluvial Channels: Sediment Supply and Streambed State","Q13442814","Marwan Hassan","10.1029/2020jf005736","Experimental Insights Into the Threshold of Motion in Alluvial Channels: Sediment Supply and Streambed State"
