"qid","Len","P31","P50","P356","P921","P1476"
"","Spatial and temporal variation of in‐reach suspended sediment dynamics along the mainstem of Changjiang (Yangtze River), China","Q13442814","('Marwan Hassan',)","10.1029/2010wr009228","","Spatial and temporal variation of in‐reach suspended sediment dynamics along the mainstem of Changjiang (Yangtze River), China"
"","Spatial and temporal variation of sediment yield in the landscape: Example of Huanghe (Yellow River)","Q13442814","('Marwan Hassan',)","10.1029/2008gl033428","land","Spatial and temporal variation of sediment yield in the landscape: Example of Huanghe (Yellow River)"
"","Spatial linkages between geomorphic and hydraulic conditions and invertebrate drift characteristics in a small mountain stream","Q13442814","('Marwan Hassan',)","10.1139/cjfas-2017-0170","british columbia","Spatial linkages between geomorphic and hydraulic conditions and invertebrate drift characteristics in a small mountain stream"
"","Spatial organization of process domains in headwater drainage basins of a glaciated foothills region with complex longitudinal profiles","Q13442814","('Marwan Hassan',)","10.1029/2010wr009800","water","Spatial organization of process domains in headwater drainage basins of a glaciated foothills region with complex longitudinal profiles"
"","Statistical charactersitics of fluvial displacements of individual particles","Q13442814","('Marwan Hassan',)","10.1007/bf01083484","nuclear and high energy physics","Statistical charactersitics of fluvial displacements of individual particles"
"","Step-pool channel features","Q13442814","('Marwan Hassan',)","10.1016/b978-0-12-818234-5.00004-3","","Step-pool channel features"
"","Step‐pool stability: Testing the jammed state hypothesis","Q13442814","('Marwan Hassan',)","10.1029/2009jf001365","","Step‐pool stability: Testing the jammed state hypothesis"
"","Suspended sediment balance for the mainstem of Changjiang (Yangtze River) in the period 1964–1985","Q13442814","('Marwan Hassan',)","10.1002/hyp.7996","water science and technology","Suspended sediment balance for the mainstem of Changjiang (Yangtze River) in the period 1964–1985"
"","Suspended sediment dynamics at high and low flows in an agricultural watershed","Q13442814","('Marwan Hassan',)","10.1002/hyp.6743","water","Suspended sediment dynamics at high and low flows in an agricultural watershed"
"","Temporal pattern and memory in sediment transport in a step-pool channel: an experimental study","Q13442814","('Marwan Hassan',)","10.1002/2015wr016929","sediment transport","Temporal pattern and memory in sediment transport in a step-pool channel: an experimental study"
"","The effect of episodic sediment supply on bedload variability and sediment mobility","Q13442814","('Marwan Hassan',)","10.1029/2017wr022280","water science and technology","The effect of episodic sediment supply on bedload variability and sediment mobility"
"","The effect of hydraulic regime on vertical sorting in gravel-bed rivers","Q13442814","('Marwan Hassan',)","10.1029/2005wr004707","rivers","The effect of hydraulic regime on vertical sorting in gravel-bed rivers"
"","The effects of discharge and slope on hyporheic flow in step‐pool morphologies","Q13442814","('Marwan Hassan',)","10.1002/hyp.10155","water science and technology","The effects of discharge and slope on hyporheic flow in step‐pool morphologies"
"","The impact of urbanization on temporal changes in sediment transport in a gravel bed channel in Southern Ontario, Canada","Q13442814","('Marwan Hassan',)","10.1002/2016wr020288","sediment transport","The impact of urbanization on temporal changes in sediment transport in a gravel bed channel in Southern Ontario, Canada"
"","The influence of channel morphology on bedload path lengths: Insights from a survival process model","Q13442814","('Marwan Hassan',)","10.1002/esp.4946","channel morphology","The influence of channel morphology on bedload path lengths: Insights from a survival process model"
"","The influence of microform bed roughness elements on flow and sediment transport in gravel bed rivers","Q13442814","('Marwan Hassan',)","10.1002/esp.3290150807","rivers","The influence of microform bed roughness elements on flow and sediment transport in gravel bed rivers"
"","The influence of microform bed roughness elements on flow and sediment transport in gravel bed rivers: a reply","Q13442814","('Marwan Hassan',)","10.1002/esp.3290170512","rivers","The influence of microform bed roughness elements on flow and sediment transport in gravel bed rivers: a reply"
"","The origin of fine sediment determines the observations of suspended sediment fluxes under unsteady flow conditions","Q13442814","('Marwan Hassan',)","10.1029/2018wr022982","water science and technology","The origin of fine sediment determines the observations of suspended sediment fluxes under unsteady flow conditions"
"","The relative stability of salmon redds and unspawned streambeds","Q13442814","('Marwan Hassan',)","10.1002/2015wr016908","","The relative stability of salmon redds and unspawned streambeds"
"","The role of channel morphology on the mobility and dispersion of bed sediment in a small gravel‐bed stream","Q13442814","('Marwan Hassan',)","10.1002/esp.3980","channel morphology","The role of channel morphology on the mobility and dispersion of bed sediment in a small gravel‐bed stream"
"","The transport of gravel in an ephemeral sandbed river","Q13442814","('Marwan Hassan',)","10.1002/(sici)1096-9837(199907)24:7<623::aid-esp978>3.0.co;2-2","earth-surface processes","The transport of gravel in an ephemeral sandbed river"
"","Three-dimensional resolution of bedload transport with binocular computer vision","Q13442814","('Marwan Hassan',)","10.21203/rs.3.rs-19923/v1","","Three-dimensional resolution of bedload transport with binocular computer vision"
"","Toward a practical method for estimating sediment‐transport rates in gravel‐bed rivers","Q13442814","('Marwan Hassan',)","10.1002/esp.301","rivers","Toward a practical method for estimating sediment‐transport rates in gravel‐bed rivers"
"","Tracers for sediment movement","Q13442814","('Marwan Hassan',)","10.1007/springerreference_76609","","Tracers for sediment movement"
"","Transport and dispersion of coarse bed material, Nahal Hebron","Q13442814","('Marwan Hassan',)","10.3133/ofr63118","","Transport and dispersion of coarse bed material, Nahal Hebron"
"","Turbulent flow over an evolving gravel bed","Q13442814","('Marwan Hassan',)","10.2208/prohe1975.33.481","","Turbulent flow over an evolving gravel bed"
"","Upland gravel-bed rivers with low sediment transport","Q13442814","('Marwan Hassan',)","10.1016/s0928-2025(05)80015-x","rivers","Upland gravel-bed rivers with low sediment transport"
"","Use of tracers in fluvial geomorphology","Q13442814","('Marwan Hassan',)","10.1002/0470868333.ch14","","Use of tracers in fluvial geomorphology"
"","Using LiDAR to characterize logjams in lowland rivers","Q13442814","('Marwan Hassan',)","10.1016/j.geomorph.2015.06.036","rivers","Using LiDAR to characterize logjams in lowland rivers"
"","Variable hillslope‐channel coupling and channel characteristics of forested mountain streams in glaciated landscapes","Q13442814","('Marwan Hassan',)","10.1002/esp.4527","streams","Variable hillslope‐channel coupling and channel characteristics of forested mountain streams in glaciated landscapes"
"","Vertical exchange of coarse bedload in desert streams","Q13442814","('Marwan Hassan',)","10.1144/gsl.sp.1987.035.01.02","streams","Vertical exchange of coarse bedload in desert streams"
"","Vertical mixing of coarse particles in gravel bed rivers:  a kinematic model","Q13442814","('Marwan Hassan',)","10.1029/93wr03351","rivers","Vertical mixing of coarse particles in gravel bed rivers:  a kinematic model"
"","Video‐based gravel transport measurements with a flume mounted light table","Q13442814","('Marwan Hassan',)","10.1002/esp.1675","","Video‐based gravel transport measurements with a flume mounted light table"
"","Virtual rate and mean distance of travel of individual clasts in gravel‐bed channels","Q13442814","('Marwan Hassan',)","10.1002/esp.3290170607","","Virtual rate and mean distance of travel of individual clasts in gravel‐bed channels"
"","What are the contemporary sources of sediment in the Mississippi River?","Q13442814","('Marwan Hassan',)","10.1002/2017gl074046","","What are the contemporary sources of sediment in the Mississippi River?"
"","What controls the disequilibrium state of gravel‐bed rivers?","Q13442814","('Marwan Hassan',)","10.1002/esp.4695","rivers","What controls the disequilibrium state of gravel‐bed rivers?"
"","What is Hidden in Hiding Functions? The Influence of Packing on Size-Selective Transport","Q13442814","('Marwan Hassan',)","10.1130/abs/2016am-285670","","What is Hidden in Hiding Functions? The Influence of Packing on Size-Selective Transport"
"","Width variations control the development of grain structuring in steep step‐pool dominated streams: insight from flume experiments","Q13442814","('Marwan Hassan',)","10.1002/esp.4815","streams","Width variations control the development of grain structuring in steep step‐pool dominated streams: insight from flume experiments"
"","Wood Load, Jam Formation and Sediment Storage in a Gravel-Bed Stream","Q13442814","('Marwan Hassan',)","10.1029/2012jf002385","","Wood Load, Jam Formation and Sediment Storage in a Gravel-Bed Stream"
"","Wood dynamics in upland streams under different disturbance regimes","Q13442814","('Marwan Hassan',)","10.1002/esp.3356","streams","Wood dynamics in upland streams under different disturbance regimes"
"","drainage basin dynamics","Q13442814","('Marwan Hassan',)","10.1007/springerreference_43118","","drainage basin dynamics"
