"qid","Len","P31","P50","P356","P921","P1476"
"","Radiation field modeling of multi-lamp, homogeneous photoreactors","Q13442814","('Madjid\xa0Mohseni',)","10.1016/j.jphotochem.2008.03.006","modeling","Radiation field modeling of multi-lamp, homogeneous photoreactors"
"","Removal of Microcystin-LR from spiked natural and synthetic waters by anion exchange","Q13442814","('Madjid\xa0Mohseni',)","10.1016/j.scitotenv.2018.11.117","water","Removal of Microcystin-LR from spiked natural and synthetic waters by anion exchange"
"","Removal of legacy PFAS and other fluorotelomers: optimized regeneration strategies in DOM-rich waters","Q13442814","('Madjid\xa0Mohseni',)","10.1016/j.watres.2020.116098","water","Removal of legacy PFAS and other fluorotelomers: optimized regeneration strategies in DOM-rich waters"
"","SIMULATION OF IMMOBILIZED PHOTOCATALYTIC REACTORS USING CFD","Q13442814","('Madjid\xa0Mohseni',)","10.1021/ie101736d","industrial and manufacturing engineering","SIMULATION OF IMMOBILIZED PHOTOCATALYTIC REACTORS USING CFD"
"","Simultaneous uptake of NOM and Microcystin-LR by anion exchange resins: effect of inorganic ions and resin regeneration","Q13442814","('Madjid\xa0Mohseni',)","10.1016/j.chemosphere.2017.10.135","ion exchange","Simultaneous uptake of NOM and Microcystin-LR by anion exchange resins: effect of inorganic ions and resin regeneration"
"","Standardizing electrocoagulation reactor design: iron electrodes for NOM removal","Q13442814","('Madjid\xa0Mohseni',)","10.1016/j.chemosphere.2012.11.075","","Standardizing electrocoagulation reactor design: iron electrodes for NOM removal"
"","Synthesis of photocatalytic nanosized TiO2–Ag particles with sol–gel method using reduction agent","Q13442814","('Madjid\xa0Mohseni',)","10.1016/j.molcata.2005.07.038","physical and theoretical chemistry","Synthesis of photocatalytic nanosized TiO2–Ag particles with sol–gel method using reduction agent"
"","Synthesis, Characterization, and Comparison of Sol–Gel TiO2 Immobilized Photocatalysts","Q13442814","('Madjid\xa0Mohseni',)","10.1515/ijcre-2012-0054","degradation","Synthesis, Characterization, and Comparison of Sol–Gel TiO2 Immobilized Photocatalysts"
"","Systematic study of separators in air-breathing flat-plate microbial fuel cells—part 2: numerical modeling","Q13442814","('Madjid\xa0Mohseni',)","10.3390/en9020079","modeling","Systematic study of separators in air-breathing flat-plate microbial fuel cells—part 2: numerical modeling"
"","Temperature dependence of 185 nm photochemical water treatment–The photolysis of water","Q13442814","('Madjid\xa0Mohseni',)","10.1016/j.jphotochem.2017.12.030","water treatment","Temperature dependence of 185 nm photochemical water treatment–The photolysis of water"
"","Temperature dependence of the absorbance of 185 nm photons by water and commonly occurring solutes and its influence on the VUV advanced oxidation process","Q13442814","('Madjid\xa0Mohseni',)","10.1039/c8ew00302e","water","Temperature dependence of the absorbance of 185 nm photons by water and commonly occurring solutes and its influence on the VUV advanced oxidation process"
"","The Impact of UV/H2O2 Advanced Oxidation on Molecular Size Distribution of Chromophoric Natural Organic Matter","Q13442814","('Madjid\xa0Mohseni',)","10.1021/es071602m","","The Impact of UV/H2O2 Advanced Oxidation on Molecular Size Distribution of Chromophoric Natural Organic Matter"
"","The Influence of Cell Concentration and Morphology on the Yielding Behavior of Filamentous Fermentation Broths","Q13442814","('Madjid\xa0Mohseni',)","10.1007/978-94-017-0641-4_24","","The Influence of Cell Concentration and Morphology on the Yielding Behavior of Filamentous Fermentation Broths"
"","The effect of particle morphology and concentration on the directly measured yield stress in filamentous suspensions","Q13442814","('Madjid\xa0Mohseni',)","10.1002/bit.260480312","biotechnology","The effect of particle morphology and concentration on the directly measured yield stress in filamentous suspensions"
"","The fate of natural organic matter during UV/H2O2 advanced oxidation of drinking water","Q13442814","('Madjid\xa0Mohseni',)","10.1680/jees.2013.0004","drinking water","The fate of natural organic matter during UV/H2O2 advanced oxidation of drinking water"
"","The fate of natural organic matter during UV/H2O2 advanced oxidation of drinking waterA paper submitted to the Journal of Environmental Engineering and Science.","Q13442814","('Madjid\xa0Mohseni',)","10.1139/s08-045","drinking water","The fate of natural organic matter during UV/H2O2 advanced oxidation of drinking waterA paper submitted to the Journal of Environmental Engineering and Science."
"","The impact of chloride and chlorine radical on nitrite formation during vacuum UV photolysis of water","Q13442814","('Madjid\xa0Mohseni',)","10.1016/j.scitotenv.2020.143325","water","The impact of chloride and chlorine radical on nitrite formation during vacuum UV photolysis of water"
"","The role of hydrophobic properties in ion exchange removal of organic compounds from water","Q13442814","('Madjid\xa0Mohseni',)","10.1002/cjce.22823","water","The role of hydrophobic properties in ion exchange removal of organic compounds from water"
"","The treatment of waste air containing phenol vapors in biotrickling filter","Q13442814","('Madjid\xa0Mohseni',)","10.1016/j.chemosphere.2008.05.040","general chemistry","The treatment of waste air containing phenol vapors in biotrickling filter"
"","The viscoelastic nature of filamentous fermentation broths and its influence on the directly measured yield stress","Q13442814","('Madjid\xa0Mohseni',)","10.1016/s0922-338x(97)80993-2","","The viscoelastic nature of filamentous fermentation broths and its influence on the directly measured yield stress"
"","Transient performance of biofilters treating mixtures of hydrophilic and hydrophobic volatile organic compounds","Q13442814","('Madjid\xa0Mohseni',)","10.1080/10473289.1999.10463980","","Transient performance of biofilters treating mixtures of hydrophilic and hydrophobic volatile organic compounds"
"","UV Treatment: A Solution for Small Community Water Supplies","Q13442814","('Madjid\xa0Mohseni',)","10.1201/9781498710701-9","water","UV Treatment: A Solution for Small Community Water Supplies"
"","UV-H2O2 based AOP and its integration with biological activated carbon treatment for DBP reduction in drinking water","Q13442814","('Madjid\xa0Mohseni',)","10.1016/j.chemosphere.2006.09.043","drinking water","UV-H2O2 based AOP and its integration with biological activated carbon treatment for DBP reduction in drinking water"
"","UV-LED fluence determination by numerical method for microbial inactivation studies","Q13442814","('Madjid\xa0Mohseni',)","10.1016/j.jphotochem.2020.112406","general physics and astronomy","UV-LED fluence determination by numerical method for microbial inactivation studies"
"","UV-LED radiation modeling and its applications in UV dose determination for water treatment","Q13442814","('Madjid\xa0Mohseni',)","10.1016/j.jphotochem.2017.10.047","water treatment","UV-LED radiation modeling and its applications in UV dose determination for water treatment"
"","Ultraviolet photooxidation for the biodegradability enhancement of airborne o-xylene","Q13442814","('Madjid\xa0Mohseni',)","10.1139/s04-060","environmental engineering","Ultraviolet photooxidation for the biodegradability enhancement of airborne o-xylene"
"","Using UV pretreatment to enhance biofiltration of mixtures of aromatic VOCs","Q13442814","('Madjid\xa0Mohseni',)","10.1016/j.jhazmat.2006.09.086","","Using UV pretreatment to enhance biofiltration of mixtures of aromatic VOCs"
"","Using ozone to reduce recalcitrant compounds and to enhance biodegradability of pulp and paper effluents","Q13442814","('Madjid\xa0Mohseni',)","10.2166/wst.2004.0190","ozone","Using ozone to reduce recalcitrant compounds and to enhance biodegradability of pulp and paper effluents"
"","Utilizing ultraviolet photooxidation as a pre‐treatment of volatile organic compounds upstream of a biological gas cleaning operation","Q13442814","('Madjid\xa0Mohseni',)","10.1002/jctb.1030","biotechnology","Utilizing ultraviolet photooxidation as a pre‐treatment of volatile organic compounds upstream of a biological gas cleaning operation"
"","Water Velocity Distribution and Its Impact on the Performance of an Electrocoagulation Reactor for Drinking Water Treatment","Q13442814","('Madjid\xa0Mohseni',)","10.1149/ma2018-02/58/2082","drinking water","Water Velocity Distribution and Its Impact on the Performance of an Electrocoagulation Reactor for Drinking Water Treatment"
