"qid","Len","P31","P50","P356","P921","P1476"
"","Progress towards understanding the structure, function, and ecological significance of small stream channels and their riparian zones","Q13442814","Q56794616","10.1139/x03-146","water","Progress towards understanding the structure, function, and ecological significance of small stream channels and their riparian zones"
"","RIPARIAN COMMUNITIES ASSOCIATED WITH PACIFIC NORTHWEST HEADWATER STREAMS: ASSEMBLAGES, PROCESSES, AND UNIQUENESS1","Q13442814","Q56794616","10.1111/j.1752-1688.2005.tb04471.x","water","RIPARIAN COMMUNITIES ASSOCIATED WITH PACIFIC NORTHWEST HEADWATER STREAMS: ASSEMBLAGES, PROCESSES, AND UNIQUENESS1"
"","Relations of interannual differences in stream litter breakdown with discharge: Bioassessment implications","Q13442814","Q56794616","10.1002/ecs2.2423","","Relations of interannual differences in stream litter breakdown with discharge: Bioassessment implications"
"","Relative abundance and movement of the carabid beetle Scaphinotus angusticollis in managed coniferous riparian forests of southwestern British Columbia","Q13442814","Q56794616","10.1139/x10-003","british columbia","Relative abundance and movement of the carabid beetle Scaphinotus angusticollis in managed coniferous riparian forests of southwestern British Columbia"
"","Resource subsidies across the land–freshwater interface and responses in recipient communities","Q13442814","Q56794616","10.1002/rra.1283","water","Resource subsidies across the land–freshwater interface and responses in recipient communities"
"","Resource subsidy flows across freshwater–terrestrial boundaries and influence on processes linking adjacent ecosystems","Q13442814","Q56794616","10.1002/eco.1488","water","Resource subsidy flows across freshwater–terrestrial boundaries and influence on processes linking adjacent ecosystems"
"","Responses of a macroinvertebrate community from a pristine, southern British Columbia, Canada, stream to metals in experimental mesocosms","Q13442814","Q56794616","10.1002/etc.5620190328","british columbia","Responses of a macroinvertebrate community from a pristine, southern British Columbia, Canada, stream to metals in experimental mesocosms"
"","Responses of invertebrates and algae of a boreal coniferous forest stream to experimental manipulation of leaf litter inputs and shading","Q13442814","Q56794616","10.1023/b:hydr.0000026506.16929.e1","invertebrates","Responses of invertebrates and algae of a boreal coniferous forest stream to experimental manipulation of leaf litter inputs and shading"
"","Responses of organic matter and macroinvertebrates to placements of boulder clusters in a small stream of southwestern British Columbia, Canada","Q13442814","Q56794616","10.1139/f03-013","british columbia","Responses of organic matter and macroinvertebrates to placements of boulder clusters in a small stream of southwestern British Columbia, Canada"
"","Responses of periphyton and insect consumers to experimental manipulation of riparian buffer width along headwater streams in forested landscapes","Q13442814","Q56794616","10.1111/j.1365-2664.2003.00855.x","streams","Responses of periphyton and insect consumers to experimental manipulation of riparian buffer width along headwater streams in forested landscapes"
"","Retention, breakdown, and biological utilisation of deciduous tree leaves in an estuarine tidal flat of southwestern British Columbia, Canada","Q13442814","Q56794616","10.1139/f07-151","british columbia","Retention, breakdown, and biological utilisation of deciduous tree leaves in an estuarine tidal flat of southwestern British Columbia, Canada"
"","Revision and synopsis of the caddisfly genus Dicosmoecus (Trichoptera: Limnephilidae; Dicosmoecinae)","Q13442814","Q56794616","10.1080/01650428209361106","insect science","Revision and synopsis of the caddisfly genus Dicosmoecus (Trichoptera: Limnephilidae; Dicosmoecinae)"
"","Revision of the Onocosmoecus unicolor group (Trichoptera: Limnephilidae, Dicosmoecinae)","Q13442814","Q56794616","10.1155/1986/82592","insect science","Revision of the Onocosmoecus unicolor group (Trichoptera: Limnephilidae, Dicosmoecinae)"
"","Riparian canopy type and management history control forest-to-stream plant litter fluxes","Q13442814","Q56794616","10.1139/x11-067","british columbia","Riparian canopy type and management history control forest-to-stream plant litter fluxes"
"","Riparian forest harvesting and its influence on benthic communities of small streams of sub-boreal British Columbia","Q13442814","Q56794616","10.1139/x06-286","british columbia","Riparian forest harvesting and its influence on benthic communities of small streams of sub-boreal British Columbia"
"","Risk-sensitive foraging by juvenile signal crayfish (Pacifastacus leniusculus)","Q13442814","Q56794616","10.1139/z06-161","fish","Risk-sensitive foraging by juvenile signal crayfish (Pacifastacus leniusculus)"
"","Seasonal Changes of Benthic Macroinvertebrate Communites in Southwestern British Columbia","Q13442814","Q56794616","10.1007/s10750-013-1573-y","british columbia","Seasonal Changes of Benthic Macroinvertebrate Communites in Southwestern British Columbia"
"","Seasonal food limitation of detritivorous insects in a montane stream","Q13442814","Q56794616","10.2307/1940589","ecology, evolution, behavior and systematics","Seasonal food limitation of detritivorous insects in a montane stream"
"","Sediment addition reduces the importance of predation on ecosystem functions in experimental stream channels","Q13442814","Q56794616","10.1139/cjfas-2015-0530","invertebrates","Sediment addition reduces the importance of predation on ecosystem functions in experimental stream channels"
"","Setting conservation targets for freshwater ecosystems in forested catchments","Q13442814","Q56794616","10.1017/cbo9781139175388.013","water","Setting conservation targets for freshwater ecosystems in forested catchments"
"","Shoreline vegetation change in upstream and downstream reaches of three temperate streams dammed for hydroelectric generation in British Columbia.","Q13442814","Q56794616","10.1016/j.ecoleng.2008.12.005","british columbia","Shoreline vegetation change in upstream and downstream reaches of three temperate streams dammed for hydroelectric generation in British Columbia."
"","Shredder-collector facilitation in stream detrital food webs: is there enough evidence?","Q13442814","Q56794616","10.2307/3546121","ecology, evolution, behavior and systematics","Shredder-collector facilitation in stream detrital food webs: is there enough evidence?"
"","Small stonefly predators affect microbenthic and meiobenthic communities in stream leaf packs","Q13442814","Q56794616","10.1111/fwb.12622","aquatic science","Small stonefly predators affect microbenthic and meiobenthic communities in stream leaf packs"
"","Some conceptual and operational considerations when measuring ‘resilience’: a response to Hodgson et al.","Q13442814","Q56794616","10.1016/j.tree.2015.10.005","","Some conceptual and operational considerations when measuring ‘resilience’: a response to Hodgson et al."
"","Spatial autocorrelation and fish production in freshwaters: a comment on Randall et al. (1995)1","Q13442814","Q56794616","10.1139/f99-105","fish","Spatial autocorrelation and fish production in freshwaters: a comment on Randall et al. (1995)1"
"","Species traits and channel architecture mediate flow disturbance impacts on invertebrate drift","Q13442814","Q56794616","10.1111/fwb.12871","aquatic science","Species traits and channel architecture mediate flow disturbance impacts on invertebrate drift"
"","Spiders and subsidies: results from the riparian zone of a coastal temperate rainforest","Q13442814","Q56794616","10.1111/j.1365-2656.2007.01240.x","animal science and zoology","Spiders and subsidies: results from the riparian zone of a coastal temperate rainforest"
"","Stage-specific interactions between dominant consumers within a small stream ecosystem: direct and indirect consequences","Q13442814","Q56794616","10.1899/12-078.1","","Stage-specific interactions between dominant consumers within a small stream ecosystem: direct and indirect consequences"
"","Stream Ecology","Q13442814","Q56794616","10.1201/9781420031676-11","","Stream Ecology"
"","Stream periphyton and benthic insect responses to additions of treated acid mine drainage in a continuous‐flow on‐site Mesocosm","Q13442814","Q56794616","10.1002/etc.5620111102","mine drainage","Stream periphyton and benthic insect responses to additions of treated acid mine drainage in a continuous‐flow on‐site Mesocosm"
"","Stronger effects of litter origin on the processing of conifer than broadleaf leaves: A test of home‐field advantage of stream litter breakdown","Q13442814","Q56794616","10.1111/fwb.13367","aquatic science","Stronger effects of litter origin on the processing of conifer than broadleaf leaves: A test of home‐field advantage of stream litter breakdown"
"","Terrestrial invertebrates in the riparian zone: mechanisms underlying their unique diversity","Q13442814","Q56794616","10.1093/biosci/bix078","invertebrates","Terrestrial invertebrates in the riparian zone: mechanisms underlying their unique diversity"
"","The effect of seston on the life history, growth, and distribution of Neureclipsis bimaculata (Trichoptera: Polycentropodidae) in a boreal river","Q13442814","Q56794616","10.1139/z83-325","water","The effect of seston on the life history, growth, and distribution of Neureclipsis bimaculata (Trichoptera: Polycentropodidae) in a boreal river"
"","The influence of artificial light on stream and riparian ecosystems: questions, challenges, and perspectives","Q13442814","Q56794616","10.1890/es11-00241.1","","The influence of artificial light on stream and riparian ecosystems: questions, challenges, and perspectives"
"","The role of stoneflies in enhancing growth of trout: a test of the importance of predator-predator facilitation within a stream community","Q13442814","Q56794616","10.2307/3546588","ecology, evolution, behavior and systematics","The role of stoneflies in enhancing growth of trout: a test of the importance of predator-predator facilitation within a stream community"
"","Transport and settlement of organic matter in small streams","Q13442814","Q56794616","10.1111/j.1365-2427.2009.02292.x","streams","Transport and settlement of organic matter in small streams"
"","Trophic interactions between insects and stream-associated amphibians in steep, cobble-bottom streams of the Pacific Coast of North America","Q13442814","Q56794616","10.3390/insects3020432","amphibians","Trophic interactions between insects and stream-associated amphibians in steep, cobble-bottom streams of the Pacific Coast of North America"
"","Trophic interception: how a boundary‐foraging organism influences cross‐ecosystem fluxes","Q13442814","Q56794616","10.1111/j.0030-1299.2007.15982.x","ecology, evolution, behavior and systematics","Trophic interception: how a boundary‐foraging organism influences cross‐ecosystem fluxes"
"","Trophic‐level dependent effects on CO2 emissions from experimental stream ecosystems","Q13442814","Q56794616","10.1111/gcb.12516","ecology","Trophic‐level dependent effects on CO2 emissions from experimental stream ecosystems"
"","Understanding processes and downstream linkages of headwater streams","Q13442814","Q56794616","10.1641/0006-3568(2002)052[0905:upadlo]2.0.co;2","water","Understanding processes and downstream linkages of headwater streams"
"","Unidirectional prey–predator facilitation: apparent prey enhance predators' foraging success on cryptic prey","Q13442814","Q56794616","10.1098/rsbl.2007.0087","invertebrates","Unidirectional prey–predator facilitation: apparent prey enhance predators' foraging success on cryptic prey"
"","Urgent plea for global protection of springs","Q13442814","Q56794616","10.1111/cobi.13576","ecology","Urgent plea for global protection of springs"
"","WILDLIFE ECOLOGY AND MANAGEMENT","Q13442814","Q56794616","10.2193/2006-532","ecology","WILDLIFE ECOLOGY AND MANAGEMENT"
"","Warming alters food web-driven changes in the CO2 flux of experimental pond ecosystems","Q13442814","Q56794616","10.1098/rsbl.2015.0785","water","Warming alters food web-driven changes in the CO2 flux of experimental pond ecosystems"
"","Warming, eutrophication, and predator loss amplify subsidies between aquatic and terrestrial ecosystems","Q13442814","Q56794616","10.1111/j.1365-2486.2011.02540.x","ecology","Warming, eutrophication, and predator loss amplify subsidies between aquatic and terrestrial ecosystems"
"","Watershed effects on chemical properties of sediment and primary consumption in estuarine tidal flats: importance of watershed size and food selectivity by macrobenthos","Q13442814","Q56794616","10.1007/s10021-010-9321-x","water","Watershed effects on chemical properties of sediment and primary consumption in estuarine tidal flats: importance of watershed size and food selectivity by macrobenthos"
"","Watershed processes, human impacts, and process‐based restoration","Q13442814","Q56794616","10.1002/9781118406618.ch2","restoration","Watershed processes, human impacts, and process‐based restoration"
